Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Botafogo (RJ),12.0,9.0,1.0,2.0,22.0,9.0,13.0,28.0,2.33,18.1,11.1,7.0,0.58,1.5083333333333335,0.9249999999999999,0.32499999999999973,0.17499999999999993,13.0,6.0,4.0,3.0,21.0,15.0,6.0,22.0,1.69,16.9,14.9,2.1,0.16,1.2999999999999998,1.146153846153846,0.3153846153846156,-0.007692307692307665
Fortaleza,13.0,10.0,3.0,0.0,20.0,6.0,14.0,33.0,2.54,19.3,10.2,9.1,0.7,1.4846153846153847,0.7846153846153846,0.05384615384615388,0.32307692307692304,11.0,4.0,3.0,4.0,10.0,16.0,-6.0,15.0,1.36,9.9,17.5,-7.6,-0.69,0.9,1.5909090909090908,0.009090909090909038,0.13636363636363624
Palmeiras,13.0,9.0,1.0,3.0,23.0,9.0,14.0,28.0,2.15,23.8,11.0,12.8,0.98,1.830769230769231,0.8461538461538461,-0.061538461538461764,0.15384615384615385,11.0,4.0,4.0,3.0,13.0,10.0,3.0,16.0,1.45,16.6,12.7,3.8,0.35,1.5090909090909093,1.1545454545454545,-0.3272727272727274,0.24545454545454548
Flamengo,12.0,8.0,2.0,2.0,19.0,12.0,7.0,26.0,2.17,15.8,10.8,5.1,0.42,1.3166666666666667,0.9,0.2666666666666666,-0.09999999999999998,11.0,5.0,3.0,3.0,19.0,14.0,5.0,18.0,1.64,15.5,15.4,0.0,0.0,1.4090909090909092,1.4000000000000001,0.3181818181818181,0.12727272727272743
São Paulo,13.0,9.0,2.0,2.0,19.0,9.0,10.0,29.0,2.23,15.1,11.5,3.6,0.28,1.1615384615384614,0.8846153846153846,0.30000000000000004,0.1923076923076923,11.0,3.0,3.0,5.0,14.0,15.0,-1.0,12.0,1.09,12.0,9.3,2.7,0.24,1.0909090909090908,0.8454545454545456,0.18181818181818188,-0.518181818181818
Bahia,12.0,8.0,2.0,2.0,17.0,7.0,10.0,26.0,2.17,15.9,9.9,6.0,0.5,1.325,0.8250000000000001,0.09166666666666679,0.2416666666666667,12.0,3.0,4.0,5.0,16.0,18.0,-2.0,13.0,1.08,16.4,15.6,0.8,0.06,1.3666666666666665,1.3,-0.033333333333333215,-0.19999999999999996
Cruzeiro,11.0,8.0,2.0,1.0,20.0,7.0,13.0,26.0,2.36,15.6,9.5,6.0,0.55,1.4181818181818182,0.8636363636363636,0.3999999999999999,0.2272727272727273,13.0,3.0,3.0,7.0,11.0,18.0,-7.0,12.0,0.92,9.0,17.7,-8.8,-0.68,0.6923076923076923,1.3615384615384616,0.15384615384615385,-0.023076923076922995
Vasco da Gama,12.0,7.0,3.0,2.0,20.0,17.0,3.0,24.0,2.0,12.7,13.0,-0.3,-0.02,1.0583333333333333,1.0833333333333333,0.6083333333333334,-0.3333333333333335,11.0,2.0,1.0,8.0,8.0,17.0,-9.0,7.0,0.64,10.3,17.9,-7.6,-0.69,0.9363636363636364,1.6272727272727272,-0.2090909090909091,0.08181818181818179
Atlético Mineiro,12.0,4.0,5.0,3.0,16.0,17.0,-1.0,17.0,1.42,14.6,14.0,0.6,0.05,1.2166666666666666,1.1666666666666667,0.1166666666666667,-0.25,10.0,3.0,4.0,3.0,13.0,14.0,-1.0,13.0,1.3,12.0,10.4,1.7,0.17,1.2,1.04,0.10000000000000009,-0.3599999999999999
Ath Paranaense,10.0,4.0,2.0,4.0,14.0,12.0,2.0,14.0,1.4,15.6,11.8,3.8,0.38,1.56,1.1800000000000002,-0.16000000000000014,-0.019999999999999796,12.0,4.0,3.0,5.0,12.0,14.0,-2.0,15.0,1.25,12.6,14.9,-2.3,-0.19,1.05,1.2416666666666667,-0.050000000000000044,0.07499999999999996
Internacional,10.0,4.0,4.0,2.0,12.0,10.0,2.0,16.0,1.6,17.4,8.3,9.1,0.91,1.7399999999999998,0.8300000000000001,-0.5399999999999998,-0.16999999999999993,11.0,3.0,4.0,4.0,7.0,8.0,-1.0,13.0,1.18,12.2,9.6,2.6,0.24,1.1090909090909091,0.8727272727272727,-0.4727272727272728,0.1454545454545454
Criciúma,13.0,4.0,6.0,3.0,17.0,18.0,-1.0,18.0,1.38,14.8,17.2,-2.5,-0.19,1.1384615384615384,1.323076923076923,0.1692307692307693,-0.06153846153846154,11.0,3.0,1.0,7.0,15.0,17.0,-2.0,10.0,0.91,12.4,14.9,-2.5,-0.22,1.1272727272727272,1.3545454545454545,0.23636363636363633,-0.19090909090909092
Juventude,11.0,6.0,4.0,1.0,17.0,8.0,9.0,22.0,2.0,13.7,13.0,0.7,0.06,1.2454545454545454,1.1818181818181819,0.30000000000000004,0.4545454545454546,12.0,1.0,3.0,8.0,11.0,24.0,-13.0,6.0,0.5,11.4,25.9,-14.4,-1.2,0.9500000000000001,2.158333333333333,-0.03333333333333344,0.15833333333333321
Grêmio,11.0,5.0,1.0,5.0,10.0,11.0,-1.0,16.0,1.45,12.7,11.3,1.3,0.12,1.1545454545454545,1.0272727272727273,-0.24545454545454548,0.027272727272727337,11.0,3.0,2.0,6.0,11.0,14.0,-3.0,11.0,1.0,11.7,12.7,-1.0,-0.09,1.0636363636363635,1.1545454545454545,-0.06363636363636349,-0.11818181818181817
Red Bull Bragantino,10.0,6.0,1.0,3.0,14.0,10.0,4.0,19.0,1.9,10.2,12.8,-2.6,-0.26,1.02,1.28,0.3799999999999999,0.28,13.0,1.0,5.0,7.0,13.0,19.0,-6.0,8.0,0.62,13.1,16.5,-3.4,-0.26,1.0076923076923077,1.2692307692307692,-0.007692307692307665,-0.1923076923076923
Fluminense,11.0,3.0,5.0,3.0,11.0,11.0,0.0,14.0,1.27,11.4,13.6,-2.2,-0.2,1.0363636363636364,1.2363636363636363,-0.036363636363636376,0.23636363636363633,12.0,3.0,1.0,8.0,7.0,15.0,-8.0,10.0,0.83,8.4,14.5,-6.1,-0.51,0.7000000000000001,1.2083333333333333,-0.1166666666666667,-0.04166666666666674
Vitória,12.0,4.0,2.0,6.0,15.0,18.0,-3.0,14.0,1.17,14.7,17.8,-3.1,-0.26,1.2249999999999999,1.4833333333333334,0.025000000000000133,-0.016666666666666607,12.0,2.0,2.0,8.0,11.0,20.0,-9.0,8.0,0.67,10.8,11.8,-1.0,-0.09,0.9,0.9833333333333334,0.016666666666666607,-0.6833333333333333
Corinthians,11.0,3.0,7.0,1.0,15.0,11.0,4.0,16.0,1.45,13.0,11.5,1.5,0.14,1.1818181818181819,1.0454545454545454,0.18181818181818166,0.045454545454545414,13.0,1.0,3.0,9.0,5.0,19.0,-14.0,6.0,0.46,11.9,16.9,-5.1,-0.39,0.9153846153846155,1.2999999999999998,-0.5307692307692309,-0.16153846153846163
Cuiabá,12.0,2.0,3.0,7.0,11.0,16.0,-5.0,9.0,0.75,11.6,13.1,-1.5,-0.13,0.9666666666666667,1.0916666666666666,-0.050000000000000044,-0.2416666666666667,11.0,3.0,3.0,5.0,12.0,19.0,-7.0,12.0,1.09,11.6,15.7,-4.1,-0.37,1.0545454545454545,1.4272727272727272,0.036363636363636376,-0.30000000000000004
Atl Goianiense,12.0,2.0,3.0,7.0,11.0,20.0,-9.0,9.0,0.75,15.7,14.3,1.4,0.11,1.3083333333333333,1.1916666666666667,-0.3916666666666667,-0.4750000000000001,12.0,2.0,3.0,7.0,9.0,17.0,-8.0,9.0,0.75,10.9,16.5,-5.6,-0.47,0.9083333333333333,1.375,-0.15833333333333333,-0.04166666666666674
