Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Bayern Munich,11.0,10.0,1.0,0.0,28.0,1.0,27.0,31.0,2.82,23.5,4.0,19.5,1.78,2.1363636363636362,0.36363636363636365,0.40909090909090917,0.2727272727272727,11.0,9.0,2.0,0.0,32.0,7.0,25.0,29.0,2.64,27.3,8.7,18.7,1.7,2.481818181818182,0.7909090909090909,0.42727272727272725,0.15454545454545454
Wolfsburg,11.0,9.0,1.0,1.0,31.0,7.0,24.0,28.0,2.55,27.9,6.1,21.7,1.98,2.536363636363636,0.5545454545454546,0.2818181818181822,-0.08181818181818179,11.0,8.0,1.0,2.0,36.0,12.0,24.0,25.0,2.27,26.5,11.5,15.0,1.36,2.409090909090909,1.0454545454545454,0.8636363636363638,-0.045454545454545414
Eint Frankfurt,11.0,8.0,1.0,2.0,28.0,14.0,14.0,25.0,2.27,23.1,10.9,12.3,1.12,2.1,0.990909090909091,0.4454545454545453,-0.28181818181818175,11.0,6.0,1.0,4.0,14.0,11.0,3.0,19.0,1.73,16.0,7.4,8.6,0.78,1.4545454545454546,0.6727272727272727,-0.18181818181818188,-0.32727272727272727
Essen,11.0,5.0,3.0,3.0,21.0,14.0,7.0,18.0,1.64,15.5,12.0,3.5,0.32,1.4090909090909092,1.0909090909090908,0.5,-0.18181818181818188,11.0,5.0,2.0,4.0,12.0,12.0,0.0,17.0,1.55,10.1,13.5,-3.4,-0.31,0.9181818181818181,1.2272727272727273,0.17272727272727273,0.13636363636363646
Hoffenheim,11.0,4.0,3.0,4.0,23.0,19.0,4.0,15.0,1.36,17.5,15.6,2.0,0.18,1.5909090909090908,1.4181818181818182,0.5,-0.3090909090909091,11.0,6.0,1.0,4.0,20.0,16.0,4.0,19.0,1.73,17.3,14.9,2.4,0.22,1.5727272727272728,1.3545454545454545,0.24545454545454537,-0.10000000000000009
Leverkusen,11.0,5.0,3.0,3.0,23.0,10.0,13.0,18.0,1.64,14.0,13.9,0.1,0.01,1.2727272727272727,1.2636363636363637,0.8181818181818181,0.3545454545454546,11.0,3.0,4.0,4.0,11.0,15.0,-4.0,13.0,1.18,12.4,10.2,2.2,0.2,1.1272727272727272,0.9272727272727272,-0.1272727272727272,-0.4363636363636363
Werder Bremen,11.0,4.0,2.0,5.0,15.0,16.0,-1.0,14.0,1.27,13.6,13.2,0.4,0.03,1.2363636363636363,1.2,0.1272727272727272,-0.25454545454545463,11.0,4.0,2.0,5.0,19.0,15.0,4.0,14.0,1.27,16.2,12.8,3.4,0.31,1.4727272727272727,1.1636363636363638,0.25454545454545463,-0.19999999999999973
RB Leipzig,11.0,6.0,1.0,4.0,14.0,16.0,-2.0,19.0,1.73,8.9,18.8,-9.9,-0.9,0.8090909090909091,1.7090909090909092,0.4636363636363636,0.25454545454545463,11.0,1.0,4.0,6.0,12.0,25.0,-13.0,7.0,0.64,9.9,21.5,-11.7,-1.06,0.9,1.9545454545454546,0.1909090909090908,-0.31818181818181834
Freiburg,11.0,2.0,4.0,5.0,13.0,23.0,-10.0,10.0,0.91,15.1,16.6,-1.5,-0.13,1.3727272727272728,1.5090909090909093,-0.19090909090909092,-0.5818181818181816,11.0,4.0,2.0,5.0,13.0,21.0,-8.0,14.0,1.27,12.0,13.9,-1.9,-0.17,1.0909090909090908,1.2636363636363637,0.09090909090909105,-0.6454545454545455
Köln,11.0,4.0,0.0,7.0,15.0,21.0,-6.0,12.0,1.09,14.6,15.2,-0.5,-0.05,1.3272727272727272,1.3818181818181818,0.036363636363636376,-0.5272727272727273,11.0,1.0,3.0,7.0,10.0,22.0,-12.0,6.0,0.55,12.5,14.6,-2.1,-0.19,1.1363636363636365,1.3272727272727272,-0.2272727272727274,-0.6727272727272728
1. FC Nürnberg,11.0,1.0,2.0,8.0,7.0,31.0,-24.0,5.0,0.45,6.0,28.1,-22.0,-2.0,0.5454545454545454,2.5545454545454547,0.09090909090909094,-0.26363636363636367,11.0,3.0,1.0,7.0,9.0,30.0,-21.0,10.0,0.91,9.8,25.2,-15.4,-1.4,0.890909090909091,2.290909090909091,-0.07272727272727275,-0.43636363636363606
MSV Duisburg,11.0,0.0,3.0,8.0,8.0,24.0,-16.0,3.0,0.27,5.0,24.6,-19.6,-1.78,0.45454545454545453,2.2363636363636363,0.27272727272727276,0.054545454545454675,11.0,0.0,1.0,10.0,8.0,40.0,-32.0,1.0,0.09,8.9,30.7,-21.8,-1.98,0.8090909090909091,2.790909090909091,-0.08181818181818179,-0.8454545454545452
