Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Düsseldorf,2.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,2.0,2.6,1.4,1.2,0.6,1.3,0.7,-0.8,0.7,2.0,2.0,0.0,0.0,4.0,1.0,3.0,6.0,3.0,4.2,2.1,2.2,1.09,2.1,1.05,-0.10000000000000009,0.55
Greuther Fürth,2.0,1.0,1.0,0.0,4.0,2.0,2.0,4.0,2.0,3.9,5.3,-1.4,-0.69,1.95,2.65,0.050000000000000044,1.65,2.0,1.0,1.0,0.0,6.0,2.0,4.0,4.0,2.0,4.4,3.1,1.3,0.65,2.2,1.55,0.7999999999999998,0.55
Magdeburg,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,3.1,1.5,1.6,0.8,1.55,0.75,-0.55,-0.25,2.0,2.0,0.0,0.0,7.0,1.0,6.0,6.0,3.0,4.7,3.5,1.3,0.64,2.35,1.75,1.15,1.25
Hamburger SV,2.0,1.0,1.0,0.0,5.0,2.0,3.0,4.0,2.0,2.9,1.6,1.3,0.67,1.45,0.8,1.05,-0.19999999999999996,2.0,1.0,0.0,1.0,2.0,2.0,0.0,3.0,1.5,2.3,3.7,-1.3,-0.66,1.15,1.85,-0.1499999999999999,0.8500000000000001
Paderborn 07,1.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,3.0,1.2,0.7,0.5,0.48,1.2,0.7,1.8,-0.30000000000000004,2.0,1.0,1.0,0.0,3.0,2.0,1.0,4.0,2.0,3.7,1.2,2.5,1.25,1.85,0.6,-0.3500000000000001,-0.4
Hertha BSC,2.0,1.0,0.0,1.0,3.0,2.0,1.0,3.0,1.5,1.3,3.0,-1.6,-0.81,0.65,1.5,0.85,0.5,2.0,1.0,1.0,0.0,5.0,4.0,1.0,4.0,2.0,2.8,3.0,-0.1,-0.06,1.4,1.5,1.1,-0.5
Karlsruher,2.0,2.0,0.0,0.0,6.0,4.0,2.0,6.0,3.0,3.2,3.0,0.2,0.12,1.6,1.5,1.4,-0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,1.0,-0.2,-0.21,0.8,1.0,-0.8,1.0
Hannover 96,2.0,2.0,0.0,0.0,3.0,0.0,3.0,6.0,3.0,3.8,1.1,2.6,1.31,1.9,0.55,-0.3999999999999999,0.55,2.0,0.0,1.0,1.0,0.0,1.0,-1.0,1.0,0.5,0.9,3.6,-2.8,-1.38,0.45,1.8,-0.45,1.3
Kaiserslautern,2.0,0.0,1.0,1.0,5.0,6.0,-1.0,1.0,0.5,3.2,4.5,-1.3,-0.63,1.6,2.25,0.8999999999999999,-0.75,2.0,2.0,0.0,0.0,3.0,1.0,2.0,6.0,3.0,2.7,1.3,1.4,0.72,1.35,0.65,0.1499999999999999,0.15000000000000002
Elversberg,2.0,1.0,1.0,0.0,6.0,2.0,4.0,4.0,2.0,3.7,3.1,0.5,0.27,1.85,1.55,1.15,0.55,2.0,0.0,1.0,1.0,2.0,3.0,-1.0,1.0,0.5,1.8,2.8,-1.0,-0.52,0.9,1.4,0.09999999999999998,-0.10000000000000009
Köln,2.0,1.0,0.0,1.0,6.0,2.0,4.0,3.0,1.5,5.7,2.0,3.7,1.83,2.85,1.0,0.1499999999999999,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,2.6,1.4,1.2,1.22,2.6,1.4,-0.6000000000000001,-0.6000000000000001
Schalke 04,1.0,1.0,0.0,0.0,5.0,1.0,4.0,3.0,3.0,2.1,0.7,1.4,1.41,2.1,0.7,2.9,-0.30000000000000004,2.0,0.0,1.0,1.0,3.0,5.0,-2.0,1.0,0.5,3.2,2.6,0.6,0.29,1.6,1.3,-0.10000000000000009,-1.2
Nürnberg,2.0,1.0,0.0,1.0,3.0,5.0,-2.0,3.0,1.5,1.9,4.6,-2.7,-1.37,0.95,2.3,0.55,-0.20000000000000018,2.0,0.0,1.0,1.0,3.0,4.0,-1.0,1.0,0.5,1.9,3.1,-1.2,-0.59,0.95,1.55,0.55,-0.44999999999999996
Jahn R'burg,2.0,1.0,0.0,1.0,1.0,4.0,-3.0,3.0,1.5,2.3,2.7,-0.4,-0.19,1.15,1.35,-0.6499999999999999,-0.6499999999999999,2.0,0.0,0.0,2.0,0.0,4.0,-4.0,0.0,0.0,1.7,3.6,-1.9,-0.94,0.85,1.8,-0.85,-0.19999999999999996
Preußen Münster,2.0,0.0,1.0,1.0,0.0,1.0,-1.0,1.0,0.5,2.7,0.9,1.8,0.89,1.35,0.45,-1.35,-0.04999999999999999,2.0,0.0,0.0,2.0,2.0,7.0,-5.0,0.0,0.0,4.4,5.0,-0.6,-0.32,2.2,2.5,-1.2000000000000002,-1.0
Darmstadt 98,2.0,0.0,1.0,1.0,1.0,3.0,-2.0,1.0,0.5,1.8,1.7,0.2,0.08,0.9,0.85,-0.4,-0.65,2.0,0.0,0.0,2.0,1.0,7.0,-6.0,0.0,0.0,1.2,3.5,-2.2,-1.12,0.6,1.75,-0.09999999999999998,-1.75
Ulm,2.0,0.0,0.0,2.0,2.0,4.0,-2.0,0.0,0.0,2.1,5.0,-2.9,-1.47,1.05,2.5,-0.050000000000000044,0.5,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.5,0.6,-0.1,-0.08,0.5,0.6,-0.5,-0.4
Braunschweig,1.0,0.0,0.0,1.0,1.0,3.0,-2.0,0.0,0.0,2.5,2.1,0.4,0.4,2.5,2.1,-1.5,-0.8999999999999999,2.0,0.0,0.0,2.0,1.0,10.0,-9.0,0.0,0.0,1.1,5.3,-4.2,-2.08,0.55,2.65,-0.050000000000000044,-2.35
