Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,xG per Game,xGA per Game,xPTS per Game,xG per Game Diff,xGA per Game Diff,M_x,W_x,D_x,L_x,G_x,GA_x,PTS_x,xG_x,xGA_x,xPTS_x,xG per Game_x,xGA per Game_x,xPTS per Game_x,xG per Game Diff_x,xGA per Game Diff_x,M_y,W_y,D_y,L_y,G_y,GA_y,PTS_y,xG_y,xGA_y,xPTS_y,xG per Game_y,xGA per Game_y,xPTS per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Bayer Leverkusen,34.0,28.0,6.0,0.0,89.0,24.0,90.0,82.01258200000001,32.42771259999999,76.16870000000002,2.4121347647058826,0.9537562529411763,2.2402558823529417,0.20551229411764682,0.24787389999999976,17.0,14.0,3.0,0.0,47.0,11.0,45.0,43.85855000000001,13.785424600000002,40.7781,2.5799147058823535,0.8109073294117648,2.3987117647058827,0.18479117647058763,0.163848505882353,17.0,14.0,3.0,0.0,42.0,13.0,45.0,38.154032,18.642288000000004,35.390600000000006,2.2443548235294117,1.0966051764705884,2.0818000000000003,0.22623341176470602,0.3318992941176473
VfB Stuttgart,34.0,23.0,4.0,7.0,78.0,39.0,73.0,78.991457,42.503415000000004,69.5001,2.3232781470588235,1.2501004411764707,2.044120588235294,-0.029160500000000145,0.10304161764705899,17.0,13.0,3.0,1.0,50.0,15.0,42.0,45.68688,18.534716000000003,39.0267,2.687463529411765,1.090277411764706,2.2956882352941177,0.2537129411764707,0.2079244705882355,17.0,10.0,1.0,6.0,28.0,24.0,31.0,33.304577,23.968699,30.473399999999994,1.9590927647058825,1.4099234705882353,1.7925529411764702,-0.31203394117647076,-0.0018412352941177268
Bayern Munich,34.0,23.0,3.0,8.0,94.0,45.0,72.0,94.400968,35.2247951,76.98479999999999,2.7764990588235294,1.0360233852941176,2.2642588235294117,-0.011793176470588307,-0.2875060264705882,17.0,14.0,1.0,2.0,53.0,12.0,43.0,52.129239999999996,13.1313421,42.303,3.066425882352941,0.7724318882352941,2.4884117647058823,0.051221176470588325,0.06654953529411756,17.0,9.0,2.0,6.0,41.0,33.0,29.0,42.271728,22.093453,34.681799999999996,2.4865722352941177,1.2996148823529412,2.040105882352941,-0.07480752941176494,-0.6415615882352941
RasenBallsport Leipzig,34.0,19.0,8.0,7.0,77.0,39.0,65.0,72.62639400000002,43.253636,64.20989999999999,2.1360704117647065,1.2721657647058824,1.888526470588235,0.12863547058823466,0.1251069411764707,17.0,11.0,4.0,2.0,40.0,12.0,37.0,41.694852999999995,18.547532999999998,36.6623,2.4526384117647058,1.0910313529411764,2.1566058823529413,-0.09969723529411745,0.38514899999999985,17.0,8.0,4.0,5.0,37.0,27.0,28.0,30.931541000000003,24.706103000000002,27.547600000000003,1.819502411764706,1.4533001764705884,1.6204470588235296,0.3569681764705879,-0.13493511764705857
Borussia Dortmund,34.0,18.0,9.0,7.0,68.0,43.0,63.0,71.16419299999998,55.27004900000001,56.875599999999984,2.0930644999999997,1.6255896764705884,1.672811764705882,-0.09306449999999966,0.36088379411764726,17.0,10.0,3.0,4.0,37.0,22.0,33.0,41.692197,23.361909,34.2397,2.452482176470588,1.3742299411764707,2.0141,-0.27601158823529426,0.08011229411764709,17.0,8.0,6.0,3.0,31.0,21.0,30.0,29.471995999999997,31.908140000000003,22.6359,1.7336468235294116,1.876949411764706,1.3315235294117647,0.08988258823529427,0.6416552941176472
Eintracht Frankfurt,34.0,11.0,14.0,9.0,51.0,50.0,47.0,51.637335,55.25341999999999,46.0495,1.5187451470588236,1.6251005882352938,1.3543970588235295,-0.018745147058823575,0.15451235294117605,17.0,7.0,8.0,2.0,29.0,21.0,29.0,31.194365000000005,22.786441999999997,29.5753,1.8349626470588238,1.3403789411764704,1.7397235294117646,-0.12908029411764743,0.10508482352941151,17.0,4.0,6.0,7.0,22.0,29.0,18.0,20.44297,32.466978,16.474200000000003,1.2025276470588235,1.9098222352941174,0.9690705882352944,0.09159000000000006,0.20393988235294103
Hoffenheim,34.0,13.0,7.0,14.0,66.0,66.0,46.0,56.24937899999998,66.424648,42.572599999999994,1.6543934999999994,1.9536661176470589,1.252135294117647,0.2867829705882359,0.012489647058823605,17.0,6.0,5.0,6.0,31.0,31.0,23.0,30.250703000000005,27.144326000000003,26.2852,1.7794531176470592,1.5967250588235296,1.5461882352941176,0.044076294117646686,-0.2268043529411763,17.0,7.0,2.0,8.0,35.0,35.0,23.0,25.998676000000003,39.28032200000001,16.2874,1.5293338823529414,2.310607176470589,0.9580823529411766,0.5294896470588231,0.2517836470588244
Freiburg,34.0,11.0,9.0,14.0,45.0,58.0,42.0,52.5000437,58.55513700000001,44.2596,1.5441189323529412,1.722209911764706,1.3017529411764706,-0.22058952058823533,0.016327558823529653,17.0,5.0,7.0,5.0,28.0,30.0,22.0,32.452218,26.769289,28.565600000000003,1.908954,1.5746640588235294,1.680329411764706,-0.26189517647058835,-0.19004182352941168,17.0,6.0,2.0,9.0,17.0,28.0,20.0,20.047825699999997,31.785848000000005,15.693999999999999,1.179283864705882,1.8697557647058827,0.9231764705882353,-0.1792838647058821,0.22269694117647099
FC Heidenheim,34.0,10.0,12.0,12.0,50.0,55.0,42.0,42.57898299999999,66.09422899999998,33.2363,1.2523230294117642,1.9439479117647054,0.9775382352941177,0.21826520588235354,0.32630085294117595,17.0,7.0,5.0,5.0,30.0,26.0,26.0,23.337099999999996,30.777618000000004,18.2579,1.3727705882352939,1.810448117647059,1.0739941176470589,0.39193529411764727,0.2810363529411768,17.0,3.0,7.0,7.0,20.0,29.0,16.0,19.241883,35.31661100000001,14.978399999999999,1.1318754705882355,2.0774477058823533,0.8810823529411764,0.0445951176470587,0.3715653529411769
Werder Bremen,34.0,11.0,9.0,14.0,48.0,54.0,42.0,47.103469000000004,61.09664299999999,38.43749999999999,1.3853961470588236,1.7969600882352939,1.1305147058823528,0.026368558823529398,0.20872479411764688,17.0,7.0,4.0,6.0,29.0,26.0,25.0,26.709967999999996,29.673115,21.530799999999996,1.5711745882352939,1.7454773529411765,1.2665176470588233,0.13470776470588253,0.2160655882352942,17.0,4.0,5.0,8.0,19.0,28.0,17.0,20.393500999999997,31.423528000000005,16.906699999999997,1.1996177058823527,1.8484428235294121,0.9945117647058822,-0.08197064705882329,0.20138400000000045
Augsburg,34.0,10.0,9.0,15.0,50.0,60.0,39.0,49.117293999999994,62.30341199999999,39.044999999999995,1.4446262941176469,1.8324532941176468,1.1483823529411763,0.025961941176470882,0.06774741176470567,17.0,6.0,6.0,5.0,26.0,26.0,24.0,24.826809,26.980112,22.6414,1.4604005294117648,1.5870654117647058,1.3318470588235294,0.06901123529411746,0.05765364705882359,17.0,4.0,3.0,10.0,24.0,34.0,15.0,24.290485,35.3233,16.4036,1.4288520588235294,2.0778411764705886,0.9649176470588235,-0.01708735294117636,0.07784117647058864
