Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
U de Chile,11.0,5.0,5.0,1.0,15.0,7.0,8.0,20.0,1.82,1.3636363636363635,0.6363636363636364,12.0,9.0,2.0,1.0,27.0,10.0,17.0,29.0,2.42,2.25,0.8333333333333334
Colo-Colo,11.0,8.0,0.0,3.0,19.0,9.0,10.0,24.0,2.18,1.7272727272727273,0.8181818181818182,10.0,5.0,3.0,2.0,14.0,7.0,7.0,18.0,1.8,1.4,0.7
Univ Católica,11.0,5.0,3.0,3.0,20.0,12.0,8.0,18.0,1.64,1.8181818181818181,1.0909090909090908,12.0,6.0,3.0,3.0,14.0,12.0,2.0,21.0,1.75,1.1666666666666667,1.0
Coquimbo Unido,12.0,6.0,4.0,2.0,17.0,9.0,8.0,22.0,1.83,1.4166666666666667,0.75,11.0,4.0,2.0,5.0,11.0,16.0,-5.0,14.0,1.27,1.0,1.4545454545454546
Iquique,11.0,6.0,2.0,3.0,18.0,17.0,1.0,20.0,1.82,1.6363636363636365,1.5454545454545454,12.0,4.0,4.0,4.0,23.0,22.0,1.0,16.0,1.33,1.9166666666666667,1.8333333333333333
Everton,12.0,4.0,5.0,3.0,16.0,14.0,2.0,17.0,1.42,1.3333333333333333,1.1666666666666667,11.0,5.0,2.0,4.0,19.0,18.0,1.0,17.0,1.55,1.7272727272727273,1.6363636363636365
Palestino,10.0,5.0,2.0,3.0,20.0,11.0,9.0,17.0,1.7,2.0,1.1,12.0,4.0,4.0,4.0,13.0,13.0,0.0,16.0,1.33,1.0833333333333333,1.0833333333333333
Unión Española,12.0,8.0,0.0,4.0,28.0,19.0,9.0,24.0,2.0,2.3333333333333335,1.5833333333333333,11.0,1.0,6.0,4.0,13.0,17.0,-4.0,9.0,0.82,1.1818181818181819,1.5454545454545454
Ñublense,11.0,4.0,4.0,3.0,18.0,9.0,9.0,16.0,1.45,1.6363636363636365,0.8181818181818182,11.0,3.0,2.0,6.0,13.0,17.0,-4.0,11.0,1.0,1.1818181818181819,1.5454545454545454
O'Higgins,11.0,3.0,4.0,4.0,10.0,19.0,-9.0,13.0,1.18,0.9090909090909091,1.7272727272727273,11.0,4.0,2.0,5.0,20.0,19.0,1.0,14.0,1.27,1.8181818181818181,1.7272727272727273
Cobresal,12.0,5.0,4.0,3.0,25.0,21.0,4.0,19.0,1.58,2.0833333333333335,1.75,10.0,1.0,4.0,5.0,10.0,17.0,-7.0,7.0,0.7,1.0,1.7
Cobreloa,11.0,5.0,2.0,4.0,14.0,17.0,-3.0,17.0,1.55,1.2727272727272727,1.5454545454545454,11.0,2.0,1.0,8.0,9.0,32.0,-23.0,7.0,0.64,0.8181818181818182,2.909090909090909
Audax Italiano,11.0,2.0,2.0,7.0,11.0,18.0,-7.0,8.0,0.73,1.0,1.6363636363636365,11.0,4.0,2.0,5.0,14.0,12.0,2.0,14.0,1.27,1.2727272727272727,1.0909090909090908
Huachipato,11.0,3.0,5.0,3.0,10.0,13.0,-3.0,14.0,1.27,0.9090909090909091,1.1818181818181819,10.0,2.0,2.0,6.0,7.0,18.0,-11.0,8.0,0.8,0.7,1.8
La Calera,11.0,3.0,2.0,6.0,14.0,20.0,-6.0,11.0,1.0,1.2727272727272727,1.8181818181818181,11.0,2.0,4.0,5.0,8.0,15.0,-7.0,10.0,0.91,0.7272727272727273,1.3636363636363635
Deportes Copiapó,10.0,5.0,0.0,5.0,16.0,11.0,5.0,15.0,1.5,1.6,1.1,12.0,1.0,1.0,10.0,11.0,26.0,-15.0,4.0,0.33,0.9166666666666666,2.1666666666666665
