Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Sparta Prague,2.0,2.0,0.0,0.0,4.0,1.0,3.0,6.0,3.0,2.0,0.5,2.0,2.0,0.0,0.0,6.0,2.0,4.0,6.0,3.0,3.0,1.0
Slavia Prague,2.0,2.0,0.0,0.0,6.0,0.0,6.0,6.0,3.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,2.0,0.5,0.0
Viktoria Plzeň,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,4.0,2.0,1.5,0.5
Jablonec,2.0,1.0,1.0,0.0,2.0,0.0,2.0,4.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,1.5,1.0,0.5
Sigma Olomouc,1.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,4.0,1.33,1.0,1.0
Hradec Králové,2.0,2.0,0.0,0.0,3.0,1.0,2.0,6.0,3.0,1.5,0.5,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0
Slovan Liberec,2.0,0.0,1.0,1.0,1.0,2.0,-1.0,1.0,0.5,0.5,1.0,2.0,1.0,0.0,1.0,4.0,3.0,1.0,3.0,1.5,2.0,1.5
Bohemians 1905,2.0,1.0,0.0,1.0,3.0,3.0,0.0,3.0,1.5,1.5,1.5,2.0,0.0,1.0,1.0,0.0,1.0,-1.0,1.0,0.5,0.0,0.5
Karviná,1.0,0.0,0.0,1.0,1.0,3.0,-2.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0
Mladá Boleslav,1.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,4.0,-3.0,0.0,0.0,0.5,2.0
Baník Ostrava,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,-1.0,0.0,0.0,1.0,2.0
Teplice,2.0,1.0,0.0,1.0,3.0,5.0,-2.0,3.0,1.5,1.5,2.5,2.0,0.0,0.0,2.0,1.0,3.0,-2.0,0.0,0.0,0.5,1.5
Dukla Prague,3.0,1.0,0.0,2.0,2.0,5.0,-3.0,3.0,1.0,0.6666666666666666,1.6666666666666667,1.0,0.0,0.0,1.0,0.0,2.0,-2.0,0.0,0.0,0.0,2.0
FK Pardubice,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,4.0,3.0,1.0,3.0,1.5,2.0,1.5
Slovácko,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,-3.0,0.0,0.0,0.0,3.0
České Budĕjov.,2.0,0.0,0.0,2.0,1.0,5.0,-4.0,0.0,0.0,0.5,2.5,1.0,0.0,0.0,1.0,0.0,4.0,-4.0,0.0,0.0,0.0,4.0
