Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,xG per Game,xGA per Game,xPTS per Game,xG per Game Diff,xGA per Game Diff,M_x,W_x,D_x,L_x,G_x,GA_x,PTS_x,xG_x,xGA_x,xPTS_x,xG per Game_x,xGA per Game_x,xPTS per Game_x,xG per Game Diff_x,xGA per Game Diff_x,M_y,W_y,D_y,L_y,G_y,GA_y,PTS_y,xG_y,xGA_y,xPTS_y,xG per Game_y,xGA per Game_y,xPTS per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Manchester City,38.0,28.0,7.0,3.0,96.0,34.0,91.0,89.54875299999999,37.2714265,83.06739999999999,2.356546131578947,0.9808270131578947,2.1859842105263154,0.16976965789473697,0.0860901710526315,19.0,14.0,5.0,0.0,51.0,16.0,47.0,45.264728999999996,14.484187,44.67330000000001,2.3823541578947367,0.7623256315789474,2.351226315789474,0.3018563684210527,-0.0797796315789473,19.0,14.0,2.0,3.0,45.0,18.0,44.0,44.284024,22.787239500000002,38.39410000000001,2.330738105263158,1.1993283947368423,2.0207421052631585,0.037682947368420816,0.25195997368421075
Arsenal,38.0,28.0,5.0,5.0,91.0,29.0,89.0,84.39247899999998,31.78212539999999,81.9379,2.2208547105263152,0.8363717210526314,2.1562605263157892,0.17388213157894805,0.07321382631578921,19.0,15.0,2.0,2.0,48.0,16.0,47.0,47.420618,15.285759399999998,44.7294,2.495822,0.8045136526315788,2.354178947368421,0.030493789473684085,-0.03759161052631588,19.0,13.0,3.0,3.0,43.0,13.0,42.0,36.97186100000001,16.496366,37.2085,1.9458874210526322,0.8682297894736841,1.958342105263158,0.3172704736842098,0.18401926315789463
Liverpool,38.0,24.0,10.0,4.0,86.0,41.0,82.0,94.785242,47.39875449999999,76.88369999999998,2.4943484736842105,1.2473356447368418,2.023255263157894,-0.2311905789473685,0.16838827631578912,19.0,15.0,3.0,1.0,49.0,17.0,48.0,59.496061,18.742595499999997,47.1548,3.131371631578947,0.9864523947368419,2.4818315789473684,-0.5524242631578944,0.09171555263157871,19.0,9.0,7.0,3.0,37.0,24.0,34.0,35.289181,28.656159000000002,29.728899999999996,1.8573253157894736,1.5082188947368422,1.5646789473684208,0.09004310526315806,0.2450610000000002
Aston Villa,38.0,20.0,8.0,10.0,76.0,61.0,68.0,67.42259349999999,65.07581200000001,55.42860000000002,1.7742787763157892,1.712521368421053,1.458647368421053,0.22572122368421077,0.10725821052631601,19.0,12.0,4.0,3.0,48.0,28.0,40.0,39.924136,28.688708000000002,33.26139999999999,2.1012703157894737,1.509932,1.7505999999999993,0.4250454736842104,0.036247789473684344,19.0,8.0,4.0,7.0,28.0,33.0,28.0,27.4984575,36.387104,22.167199999999998,1.4472872368421053,1.9151107368421052,1.1666947368421052,0.026396973684210456,0.17826863157894723
Tottenham,38.0,20.0,6.0,12.0,74.0,61.0,66.0,73.35177999999999,68.065662,57.419999999999995,1.9303099999999997,1.7912016315789474,1.5110526315789472,0.01705842105263189,0.18593847368421046,19.0,13.0,0.0,6.0,38.0,27.0,39.0,42.711738,31.197412999999997,33.856899999999996,2.2479862105263155,1.6419691052631578,1.7819421052631577,-0.24798621052631553,0.2209164736842104,19.0,7.0,6.0,6.0,36.0,34.0,27.0,30.640042000000005,36.86824899999999,23.5631,1.6126337894736844,1.9404341578947364,1.2401631578947367,0.28210305263157864,0.15096047368421006
Chelsea,38.0,18.0,9.0,11.0,77.0,63.0,63.0,80.881514,62.60043299999999,64.1976,2.128460894736842,1.6473798157894735,1.6894105263157893,-0.1021451052631579,-0.010514921052631854,19.0,11.0,4.0,4.0,44.0,26.0,37.0,48.9501,25.848537,40.28399999999999,2.5763210526315787,1.3604493157894737,2.120210526315789,-0.2605315789473681,-0.007971736842105281,19.0,7.0,5.0,7.0,33.0,37.0,26.0,31.931414,36.751895999999995,23.9136,1.6806007368421052,1.9343103157894734,1.2586105263157894,0.05624136842105276,-0.013058105263158204
Newcastle United,38.0,18.0,6.0,14.0,85.0,62.0,60.0,84.47785200000003,62.455156,65.58999999999999,2.2231013684210534,1.6435567368421053,1.726052631578947,0.013740736842104528,0.01197778947368433,19.0,12.0,4.0,3.0,49.0,22.0,40.0,51.83347,25.358306999999996,41.263000000000005,2.7280773684210526,1.334647736842105,2.1717368421052634,-0.14912999999999998,0.17675299999999972,19.0,6.0,2.0,11.0,36.0,40.0,20.0,32.64438200000001,37.09684899999999,24.327000000000005,1.7181253684210531,1.9524657368421048,1.2803684210526318,0.17661147368420993,-0.15279742105263194
Manchester United,38.0,18.0,6.0,14.0,57.0,58.0,60.0,60.329903,74.76084100000001,44.418600000000005,1.5876290263157895,1.9673905526315794,1.1689105263157895,-0.0876290263157895,0.44107476315789507,19.0,10.0,3.0,6.0,31.0,28.0,33.0,34.566379999999995,34.949039,27.1428,1.8192831578947366,1.8394231052631578,1.4285684210526317,-0.18770421052631558,0.36573889473684207,19.0,8.0,3.0,8.0,26.0,30.0,27.0,25.763522999999996,39.811802,17.275799999999997,1.355974894736842,2.095358,0.9092526315789472,0.01244615789473702,0.5164106315789474
West Ham,38.0,14.0,10.0,14.0,60.0,74.0,52.0,54.529585,77.907744,41.2783,1.4349890789473683,2.050203789473684,1.086271052631579,0.1439582894736844,0.10283536842105234,19.0,7.0,8.0,4.0,31.0,28.0,29.0,28.304485000000003,31.439953999999997,25.9862,1.4897097368421055,1.6547344210526314,1.3676947368421053,0.14186921052631551,0.18105021052631565,19.0,7.0,2.0,10.0,29.0,46.0,23.0,26.2251,46.467790000000015,15.2921,1.3802684210526317,2.4456731578947375,0.8048473684210526,0.1460473684210526,0.024620526315790148
Crystal Palace,38.0,13.0,10.0,15.0,57.0,58.0,49.0,53.93545399999999,57.99083260000001,50.456300000000006,1.4193540526315787,1.5260745421052635,1.327797368421053,0.08064594736842134,-0.00024124736842079386,19.0,8.0,4.0,7.0,37.0,26.0,28.0,32.021772,21.982882600000003,32.233000000000004,1.6853564210526315,1.1569938210526318,1.6964736842105266,0.26201200000000013,-0.21142723157894716,19.0,5.0,6.0,8.0,20.0,32.0,21.0,21.913682,36.00795,18.223300000000002,1.1533516842105265,1.8951552631578947,0.9591210526315791,-0.10072010526315811,0.21094473684210535
