Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Independiente,9.0,6.0,2.0,1.0,16.0,6.0,10.0,20.0,2.22,1.7777777777777777,0.6666666666666666,8.0,4.0,3.0,1.0,10.0,7.0,3.0,15.0,1.88,1.25,0.875
Barcelona,8.0,6.0,2.0,0.0,16.0,3.0,13.0,20.0,2.5,2.0,0.375,9.0,5.0,2.0,2.0,14.0,8.0,6.0,17.0,1.89,1.5555555555555556,0.8888888888888888
LDU de Quito,8.0,6.0,1.0,1.0,17.0,8.0,9.0,19.0,2.38,2.125,1.0,9.0,5.0,2.0,2.0,16.0,10.0,6.0,17.0,1.89,1.7777777777777777,1.1111111111111112
SD Aucas,8.0,5.0,2.0,1.0,20.0,10.0,10.0,17.0,2.13,2.5,1.25,8.0,3.0,3.0,2.0,11.0,12.0,-1.0,12.0,1.5,1.375,1.5
Univ Católica,9.0,5.0,2.0,2.0,22.0,12.0,10.0,17.0,1.89,2.4444444444444446,1.3333333333333333,8.0,3.0,2.0,3.0,12.0,10.0,2.0,11.0,1.38,1.5,1.25
CS Emelec,9.0,3.0,4.0,2.0,7.0,4.0,3.0,13.0,1.44,0.7777777777777778,0.4444444444444444,7.0,3.0,3.0,1.0,10.0,9.0,1.0,12.0,1.71,1.4285714285714286,1.2857142857142858
El Nacional,8.0,4.0,0.0,4.0,8.0,8.0,0.0,12.0,1.5,1.0,1.0,8.0,4.0,0.0,4.0,9.0,10.0,-1.0,12.0,1.5,1.125,1.25
Mushuc Runa,8.0,5.0,0.0,3.0,14.0,7.0,7.0,15.0,1.88,1.75,0.875,8.0,0.0,4.0,4.0,6.0,14.0,-8.0,4.0,0.5,0.75,1.75
Macará,8.0,2.0,3.0,3.0,5.0,8.0,-3.0,9.0,1.13,0.625,1.0,8.0,2.0,3.0,3.0,6.0,9.0,-3.0,9.0,1.13,0.75,1.125
Deportivo Cuenca,9.0,3.0,4.0,2.0,20.0,13.0,7.0,13.0,1.44,2.2222222222222223,1.4444444444444444,8.0,1.0,3.0,4.0,7.0,13.0,-6.0,6.0,0.75,0.875,1.625
Técnico Univ.,8.0,3.0,4.0,1.0,9.0,7.0,2.0,13.0,1.63,1.125,0.875,8.0,2.0,0.0,6.0,7.0,15.0,-8.0,6.0,0.75,0.875,1.875
Orense,8.0,3.0,3.0,2.0,11.0,7.0,4.0,12.0,1.5,1.375,0.875,9.0,2.0,3.0,4.0,5.0,11.0,-6.0,9.0,1.0,0.5555555555555556,1.2222222222222223
Cumbayá FC,8.0,4.0,1.0,3.0,7.0,7.0,0.0,13.0,1.63,0.875,0.875,9.0,0.0,1.0,8.0,3.0,16.0,-13.0,1.0,0.11,0.3333333333333333,1.7777777777777777
Imbabura Sporting Club,8.0,2.0,2.0,4.0,11.0,11.0,0.0,8.0,1.0,1.375,1.375,8.0,1.0,2.0,5.0,7.0,21.0,-14.0,5.0,0.63,0.875,2.625
Delfín,8.0,2.0,2.0,4.0,7.0,9.0,-2.0,8.0,1.0,0.875,1.125,8.0,1.0,1.0,6.0,3.0,15.0,-12.0,4.0,0.5,0.375,1.875
Libertad FC,8.0,1.0,3.0,4.0,6.0,12.0,-6.0,6.0,0.75,0.75,1.5,9.0,1.0,3.0,5.0,6.0,16.0,-10.0,6.0,0.67,0.6666666666666666,1.7777777777777777
