Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
PSV Eindhoven,17.0,16.0,1.0,0.0,54.0,11.0,43.0,49.0,2.88,54.5,14.2,40.3,2.37,3.2058823529411766,0.8352941176470587,-0.029411764705882693,0.18823529411764695,17.0,13.0,3.0,1.0,57.0,10.0,47.0,42.0,2.47,44.4,14.0,30.4,1.79,2.611764705882353,0.8235294117647058,0.7411764705882353,0.23529411764705876
Feyenoord,17.0,13.0,3.0,1.0,51.0,10.0,41.0,42.0,2.47,49.4,10.2,39.2,2.31,2.9058823529411764,0.6,0.09411764705882364,0.0117647058823529,17.0,13.0,3.0,1.0,41.0,16.0,25.0,42.0,2.47,43.7,16.0,27.7,1.63,2.570588235294118,0.9411764705882353,-0.15882352941176503,0.0
Twente,17.0,14.0,1.0,2.0,40.0,17.0,23.0,43.0,2.53,32.6,14.8,17.8,1.05,1.9176470588235295,0.8705882352941177,0.43529411764705883,-0.12941176470588234,17.0,7.0,5.0,5.0,29.0,19.0,10.0,26.0,1.53,25.4,21.9,3.5,0.2,1.4941176470588236,1.288235294117647,0.21176470588235285,0.17058823529411749
AZ Alkmaar,17.0,11.0,3.0,3.0,41.0,18.0,23.0,36.0,2.12,31.6,17.0,14.6,0.86,1.8588235294117648,1.0,0.552941176470588,-0.05882352941176472,17.0,8.0,5.0,4.0,29.0,21.0,8.0,29.0,1.71,24.9,22.7,2.2,0.13,1.464705882352941,1.3352941176470587,0.24117647058823533,0.09999999999999987
Ajax,17.0,9.0,6.0,2.0,39.0,21.0,18.0,33.0,1.94,33.4,20.6,12.8,0.76,1.964705882352941,1.211764705882353,0.3294117647058823,-0.0235294117647058,17.0,6.0,5.0,6.0,35.0,40.0,-5.0,23.0,1.35,31.7,32.0,-0.3,-0.02,1.8647058823529412,1.8823529411764706,0.19411764705882328,-0.47058823529411775
NEC Nijmegen,17.0,8.0,4.0,5.0,35.0,25.0,10.0,28.0,1.65,26.2,25.6,0.6,0.03,1.5411764705882351,1.5058823529411764,0.5176470588235293,0.0352941176470587,17.0,6.0,7.0,4.0,33.0,26.0,7.0,25.0,1.47,21.8,34.4,-12.6,-0.74,1.2823529411764707,2.023529411764706,0.6588235294117646,0.49411764705882355
Utrecht,17.0,8.0,5.0,4.0,29.0,23.0,6.0,29.0,1.71,25.9,22.7,3.2,0.19,1.5235294117647058,1.3352941176470587,0.1823529411764706,-0.01764705882352957,17.0,5.0,6.0,6.0,20.0,24.0,-4.0,21.0,1.24,20.4,25.3,-4.9,-0.29,1.2,1.488235294117647,-0.0235294117647058,0.07647058823529407
Sparta R'dam,17.0,6.0,5.0,6.0,25.0,25.0,0.0,23.0,1.35,26.4,23.4,3.0,0.18,1.552941176470588,1.3764705882352941,-0.0823529411764703,-0.09411764705882364,17.0,8.0,2.0,7.0,26.0,23.0,3.0,26.0,1.53,19.8,29.1,-9.3,-0.55,1.1647058823529413,1.711764705882353,0.364705882352941,0.35882352941176476
Go Ahead Eag,17.0,7.0,4.0,6.0,31.0,23.0,8.0,25.0,1.47,29.8,25.7,4.0,0.24,1.7529411764705882,1.511764705882353,0.07058823529411762,0.15882352941176459,17.0,5.0,6.0,6.0,16.0,23.0,-7.0,21.0,1.24,19.7,29.9,-10.1,-0.6,1.1588235294117646,1.7588235294117647,-0.2176470588235293,0.40588235294117636
Fortuna Sittard,17.0,7.0,6.0,4.0,27.0,20.0,7.0,27.0,1.59,29.1,17.0,12.0,0.71,1.711764705882353,1.0,-0.12352941176470611,-0.17647058823529416,17.0,2.0,5.0,10.0,10.0,36.0,-26.0,11.0,0.65,15.6,26.4,-10.8,-0.64,0.9176470588235294,1.552941176470588,-0.3294117647058823,-0.5647058823529414
Heerenveen,17.0,6.0,3.0,8.0,30.0,36.0,-6.0,21.0,1.24,27.4,23.9,3.5,0.21,1.6117647058823528,1.4058823529411764,0.15294117647058836,-0.7117647058823531,17.0,4.0,4.0,9.0,23.0,34.0,-11.0,16.0,0.94,19.6,29.6,-10.0,-0.59,1.1529411764705884,1.7411764705882353,0.19999999999999996,-0.2588235294117647
Zwolle,17.0,5.0,3.0,9.0,19.0,31.0,-12.0,18.0,1.06,25.2,24.0,1.2,0.07,1.4823529411764707,1.411764705882353,-0.3647058823529412,-0.4117647058823528,17.0,4.0,6.0,7.0,26.0,36.0,-10.0,18.0,1.06,17.9,38.5,-20.6,-1.21,1.052941176470588,2.264705882352941,0.4764705882352942,0.1470588235294117
Almere City,17.0,3.0,7.0,7.0,18.0,30.0,-12.0,16.0,0.94,18.5,26.8,-8.3,-0.49,1.088235294117647,1.576470588235294,-0.02941176470588225,-0.18823529411764706,17.0,4.0,6.0,7.0,15.0,29.0,-14.0,18.0,1.06,16.2,29.0,-12.8,-0.75,0.9529411764705882,1.7058823529411764,-0.07058823529411762,0.0
Heracles Almelo,17.0,6.0,4.0,7.0,25.0,35.0,-10.0,22.0,1.29,23.3,30.9,-7.6,-0.45,1.3705882352941177,1.8176470588235294,0.10000000000000009,-0.2411764705882351,17.0,3.0,2.0,12.0,16.0,39.0,-23.0,11.0,0.65,18.5,37.2,-18.7,-1.1,1.088235294117647,2.1882352941176473,-0.1470588235294117,-0.1058823529411761
RKC Waalwijk,17.0,4.0,6.0,7.0,20.0,25.0,-5.0,18.0,1.06,22.2,23.2,-1.0,-0.06,1.3058823529411765,1.3647058823529412,-0.12941176470588234,-0.10588235294117654,17.0,3.0,2.0,12.0,18.0,31.0,-13.0,11.0,0.65,22.3,34.4,-12.1,-0.71,1.311764705882353,2.023529411764706,-0.2529411764705882,0.19999999999999996
