Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Puskás,3.0,3.0,0.0,0.0,6.0,2.0,4.0,9.0,3.0,2.0,0.6666666666666666,1.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0
Ferencváros,2.0,2.0,0.0,0.0,2.0,0.0,2.0,6.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,2.0,0.0
MTK Budapest,1.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,4.0,2.0,0.0,2.0,3.0,3.0,0.0,6.0,1.5,0.75,0.75
Vidi,3.0,2.0,1.0,0.0,5.0,2.0,3.0,7.0,2.33,1.6666666666666667,0.6666666666666666,3.0,0.0,2.0,1.0,4.0,7.0,-3.0,2.0,0.67,1.3333333333333333,2.3333333333333335
Diósgyőr,4.0,1.0,2.0,1.0,3.0,4.0,-1.0,5.0,1.25,0.75,1.0,2.0,1.0,0.0,1.0,2.0,3.0,-1.0,3.0,1.5,1.0,1.5
Debrecen,2.0,1.0,0.0,1.0,3.0,2.0,1.0,3.0,1.5,1.5,1.0,3.0,1.0,1.0,1.0,4.0,4.0,0.0,4.0,1.33,1.3333333333333333,1.3333333333333333
Paks,2.0,2.0,0.0,0.0,4.0,2.0,2.0,6.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,5.0,-2.0,1.0,0.5,1.5,2.5
Újpest,3.0,2.0,0.0,1.0,8.0,3.0,5.0,6.0,2.0,2.6666666666666665,1.0,2.0,0.0,0.0,2.0,1.0,3.0,-2.0,0.0,0.0,0.5,1.5
Kecskemét,3.0,1.0,2.0,0.0,3.0,2.0,1.0,5.0,1.67,1.0,0.6666666666666666,2.0,0.0,0.0,2.0,0.0,2.0,-2.0,0.0,0.0,0.0,1.0
Zalaegerszeg,2.0,1.0,0.0,1.0,3.0,2.0,1.0,3.0,1.5,1.5,1.0,3.0,0.0,1.0,2.0,3.0,6.0,-3.0,1.0,0.33,1.0,2.0
Nyíregyháza,2.0,1.0,1.0,0.0,5.0,4.0,1.0,4.0,2.0,2.5,2.0,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,0.0,0.6666666666666666,2.6666666666666665
Győr,2.0,0.0,0.0,2.0,1.0,5.0,-4.0,0.0,0.0,0.5,2.5,3.0,0.0,1.0,2.0,2.0,4.0,-2.0,1.0,0.33,0.6666666666666666,1.3333333333333333
