Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,xG per Game,xGA per Game,xPTS per Game,xG per Game Diff,xGA per Game Diff,M_x,W_x,D_x,L_x,G_x,GA_x,PTS_x,xG_x,xGA_x,xPTS_x,xG per Game_x,xGA per Game_x,xPTS per Game_x,xG per Game Diff_x,xGA per Game Diff_x,M_y,W_y,D_y,L_y,G_y,GA_y,PTS_y,xG_y,xGA_y,xPTS_y,xG per Game_y,xGA per Game_y,xPTS per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Real Madrid,38.0,29.0,8.0,1.0,87.0,26.0,95.0,80.882216,39.28838400000001,77.37659999999997,2.128479368421053,1.0339048421052635,2.036226315789473,0.16099431578947332,0.34969431578947396,19.0,16.0,3.0,0.0,48.0,9.0,51.0,47.71523,16.644326,44.467099999999995,2.511327894736842,0.8760171578947368,2.340373684210526,0.014987894736842033,0.402332947368421,19.0,13.0,5.0,1.0,39.0,17.0,44.0,33.166986,22.644058,32.9095,1.7456308421052633,1.1917925263157896,1.732078947368421,0.30700073684210527,0.2970556842105264
Barcelona,38.0,26.0,7.0,5.0,79.0,44.0,85.0,81.75851700000003,45.43711800000001,76.96089999999997,2.1515399210526325,1.1957136315789476,2.0252868421052623,-0.07259255263157982,0.0378188947368423,19.0,15.0,1.0,3.0,43.0,21.0,46.0,45.84658,23.408388999999996,40.786300000000004,2.412977894736842,1.2320204736842104,2.146647368421053,-0.14982000000000006,0.12675731578947347,19.0,11.0,6.0,2.0,36.0,23.0,39.0,35.911937,22.028729000000002,36.174600000000005,1.890101947368421,1.1594067894736844,1.903926315789474,0.004634894736841977,-0.05111952631578931
Girona,38.0,25.0,6.0,7.0,85.0,46.0,81.0,78.049024,61.92663600000001,63.7813,2.0539216842105263,1.629648315789474,1.6784552631578948,0.18292042105263162,0.4191220000000002,19.0,15.0,2.0,2.0,53.0,20.0,47.0,43.026328,23.109464,39.1331,2.2645435789473685,1.2162875789473684,2.059636842105263,0.5249301052631576,0.16365600000000002,19.0,10.0,4.0,5.0,32.0,26.0,34.0,35.022696,38.81717200000001,24.648200000000006,1.8432997894736844,2.043009052631579,1.2972736842105266,-0.15908926315789507,0.6745880000000002
Atletico Madrid,38.0,24.0,4.0,10.0,70.0,43.0,76.0,69.831212,43.455699,69.8474,1.8376634736842103,1.1435710263157894,1.8380894736842104,0.004441789473684343,0.011992078947368423,19.0,16.0,1.0,2.0,42.0,22.0,49.0,42.541995,19.660310000000003,40.3886,2.239052368421053,1.0347531578947369,2.1257157894736842,-0.028526052631578924,-0.12314157894736844,19.0,8.0,3.0,8.0,28.0,21.0,27.0,27.289217,23.795389000000007,29.458799999999997,1.4362745789473685,1.2523888947368425,1.5504631578947368,0.03740963157894717,0.1471257368421055
Athletic Club,38.0,19.0,11.0,8.0,61.0,37.0,68.0,61.638073,42.031347700000005,62.9219,1.6220545526315788,1.1060880973684213,1.6558394736842106,-0.01679139473684188,0.13240388684210547,19.0,12.0,6.0,1.0,42.0,18.0,42.0,41.254928000000014,18.7748187,38.911500000000004,2.171312000000001,0.988148352631579,2.0479736842105267,0.0392143157894731,0.04077993157894744,19.0,7.0,5.0,7.0,19.0,19.0,26.0,20.383145000000003,23.256529,24.0104,1.072797105263158,1.2240278421052633,1.2637052631578947,-0.07279710526315797,0.22402784210526328
Real Sociedad,38.0,16.0,12.0,10.0,51.0,39.0,60.0,49.164117,47.29044000000001,52.701000000000015,1.2937925526315788,1.244485263157895,1.3868684210526319,0.048312710526315916,0.2181694736842108,19.0,8.0,6.0,5.0,26.0,20.0,30.0,25.121947000000006,22.085899999999995,27.639,1.3222077368421055,1.162415789473684,1.4546842105263158,0.04621331578947352,0.1097842105263156,19.0,8.0,6.0,5.0,25.0,19.0,30.0,24.04217,25.20454,25.062,1.2653773684210525,1.3265547368421053,1.3190526315789475,0.05041210526315809,0.32655473684210534
Real Betis,38.0,14.0,15.0,9.0,48.0,45.0,57.0,52.91563000000001,52.47713499999999,54.648599999999995,1.3925165789473686,1.380977236842105,1.4381210526315789,-0.12935868421052654,0.19676671052631556,19.0,9.0,7.0,3.0,27.0,19.0,34.0,32.120027,19.076836,35.73349999999999,1.6905277368421052,1.004044,1.880710526315789,-0.2694751052631579,0.0040439999999999365,19.0,5.0,8.0,6.0,21.0,26.0,23.0,20.795602999999996,33.40029899999999,18.9151,1.0945054210526315,1.75791047368421,0.9955315789473683,0.010757736842105459,0.38948942105263096
Villarreal,38.0,14.0,11.0,13.0,65.0,65.0,53.0,59.807003,65.8649,50.541399999999996,1.5738685000000001,1.7332868421052634,1.330036842105263,0.13665781578947356,0.02276052631578973,19.0,7.0,5.0,7.0,36.0,32.0,26.0,35.957286,27.764796000000008,31.515700000000002,1.8924887368421055,1.4613050526315794,1.658721052631579,0.0022481052631575515,-0.22290547368421,19.0,7.0,6.0,6.0,29.0,33.0,27.0,23.849717000000002,38.100103999999995,19.025700000000004,1.2552482631578947,2.005268631578947,1.0013526315789476,0.27106752631578956,0.268426526315789
Valencia,38.0,13.0,10.0,15.0,40.0,45.0,49.0,45.125471000000005,52.3281774,47.95520000000001,1.1875123947368422,1.3770573,1.2619789473684213,-0.13488081578947386,0.19284677368421055,19.0,8.0,6.0,5.0,20.0,14.0,30.0,26.710885999999995,20.8505664,31.382599999999993,1.4058361052631576,1.0973982315789474,1.6517157894736838,-0.35320452631578925,0.3605561263157896,19.0,5.0,4.0,10.0,20.0,31.0,19.0,18.414585,31.477611000000007,16.5726,0.9691886842105263,1.656716368421053,0.8722421052631579,0.08344289473684208,0.02513742105263206
Alaves,38.0,12.0,10.0,16.0,36.0,46.0,46.0,51.968164,52.08166199999998,50.72269999999999,1.3675832631578948,1.3705700526315785,1.3348078947368418,-0.4202148421052633,0.16004373684210482,19.0,9.0,4.0,6.0,23.0,19.0,31.0,29.746647000000003,19.333869000000004,32.422599999999996,1.5656130000000001,1.0175720526315792,1.7064526315789472,-0.35508668421052647,0.017572052631579238,19.0,3.0,6.0,10.0,13.0,27.0,15.0,22.221517000000002,32.747793,18.3001,1.1695535263157897,1.723568052631579,0.9631631578947368,-0.4853430000000002,0.30251542105263174
