Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Cruz Azul,4.0,3.0,1.0,0.0,9.0,2.0,7.0,10.0,2.5,7.1,2.2,5.0,1.24,1.775,0.55,0.4750000000000001,0.050000000000000044,2.0,2.0,0.0,0.0,6.0,0.0,6.0,6.0,3.0,3.8,0.7,3.2,1.58,1.9,0.35,1.1,0.35
Toluca,3.0,3.0,0.0,0.0,8.0,3.0,5.0,9.0,3.0,4.4,2.5,1.9,0.62,1.4666666666666668,0.8333333333333334,1.1999999999999997,-0.16666666666666663,3.0,1.0,2.0,0.0,3.0,2.0,1.0,5.0,1.67,1.5,4.3,-2.8,-0.93,0.5,1.4333333333333333,0.5,0.7666666666666667
Tijuana,4.0,3.0,1.0,0.0,11.0,6.0,5.0,10.0,2.5,7.3,5.6,1.7,0.42,1.825,1.4,0.925,-0.10000000000000009,3.0,1.0,1.0,1.0,3.0,5.0,-2.0,4.0,1.33,3.9,4.2,-0.3,-0.11,1.3,1.4000000000000001,-0.30000000000000004,-0.2666666666666666
Monterrey,3.0,1.0,0.0,2.0,3.0,7.0,-4.0,3.0,1.0,4.1,3.3,0.9,0.29,1.3666666666666665,1.0999999999999999,-0.3666666666666665,-1.2333333333333336,4.0,3.0,1.0,0.0,6.0,3.0,3.0,10.0,2.5,6.6,3.6,2.9,0.73,1.65,0.9,-0.1499999999999999,0.15000000000000002
Guadalajara,3.0,2.0,1.0,0.0,7.0,0.0,7.0,7.0,2.33,5.6,2.6,2.9,0.97,1.8666666666666665,0.8666666666666667,0.466666666666667,0.8666666666666667,3.0,1.0,1.0,1.0,5.0,5.0,0.0,4.0,1.33,4.7,4.7,0.1,0.02,1.5666666666666667,1.5666666666666667,0.10000000000000009,-0.10000000000000009
UANL,3.0,2.0,1.0,0.0,3.0,1.0,2.0,7.0,2.33,4.5,3.6,0.9,0.29,1.5,1.2,-0.5,0.8666666666666667,2.0,1.0,1.0,0.0,4.0,1.0,3.0,4.0,2.0,3.5,1.3,2.2,1.1,1.75,0.65,0.25,0.15000000000000002
Atlético,4.0,3.0,1.0,0.0,9.0,3.0,6.0,10.0,2.5,6.3,4.0,2.3,0.57,1.575,1.0,0.675,0.25,3.0,0.0,1.0,2.0,3.0,6.0,-3.0,1.0,0.33,3.2,5.0,-1.7,-0.58,1.0666666666666667,1.6666666666666667,-0.06666666666666665,-0.33333333333333326
Atlas,3.0,2.0,1.0,0.0,4.0,2.0,2.0,7.0,2.33,3.5,3.5,0.1,0.02,1.1666666666666667,1.1666666666666667,0.16666666666666652,0.5000000000000001,3.0,1.0,1.0,1.0,5.0,5.0,0.0,4.0,1.33,3.1,2.6,0.5,0.16,1.0333333333333334,0.8666666666666667,0.6333333333333333,-0.8
UNAM,2.0,2.0,0.0,0.0,6.0,1.0,5.0,6.0,3.0,4.0,1.4,2.6,1.29,2.0,0.7,1.0,0.19999999999999996,3.0,1.0,1.0,1.0,4.0,4.0,0.0,4.0,1.33,4.8,2.9,1.9,0.62,1.5999999999999999,0.9666666666666667,-0.2666666666666666,-0.3666666666666666
Puebla,4.0,1.0,1.0,2.0,5.0,6.0,-1.0,4.0,1.0,6.0,3.3,2.7,0.67,1.5,0.825,-0.25,-0.675,3.0,1.0,1.0,1.0,3.0,5.0,-2.0,4.0,1.33,1.9,5.2,-3.3,-1.09,0.6333333333333333,1.7333333333333334,0.3666666666666667,0.06666666666666665
Necaxa,3.0,2.0,0.0,1.0,7.0,2.0,5.0,6.0,2.0,4.7,2.5,2.2,0.73,1.5666666666666667,0.8333333333333334,0.7666666666666668,0.16666666666666674,2.0,0.0,1.0,1.0,1.0,2.0,-1.0,1.0,0.5,1.0,3.4,-2.4,-1.18,0.5,1.7,0.0,0.7
América,2.0,1.0,0.0,1.0,3.0,2.0,1.0,3.0,1.5,3.9,1.1,2.8,1.39,1.95,0.55,-0.44999999999999996,-0.44999999999999996,4.0,1.0,0.0,3.0,4.0,8.0,-4.0,3.0,0.75,5.7,3.9,1.8,0.45,1.425,0.975,-0.42500000000000004,-1.025
Mazatlán,3.0,1.0,2.0,0.0,6.0,3.0,3.0,5.0,1.67,7.3,2.7,4.6,1.54,2.433333333333333,0.9,-0.4333333333333331,-0.09999999999999998,3.0,0.0,0.0,3.0,0.0,6.0,-6.0,0.0,0.0,2.0,3.9,-1.9,-0.63,0.6666666666666666,1.3,-0.6666666666666666,-0.7
Pachuca,3.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,1.33,3.8,2.2,1.6,0.55,1.2666666666666666,0.7333333333333334,-0.2666666666666666,0.06666666666666676,3.0,0.0,1.0,2.0,0.0,5.0,-5.0,1.0,0.33,2.1,5.3,-3.2,-1.08,0.7000000000000001,1.7666666666666666,-0.7000000000000001,0.09999999999999987
León,3.0,0.0,3.0,0.0,2.0,2.0,0.0,3.0,1.0,4.3,2.1,2.3,0.76,1.4333333333333333,0.7000000000000001,-0.7666666666666667,0.03333333333333344,3.0,0.0,1.0,2.0,4.0,8.0,-4.0,1.0,0.33,1.8,6.0,-4.3,-1.42,0.6,2.0,0.7333333333333333,-0.6666666666666665
Santos,2.0,0.0,1.0,1.0,1.0,4.0,-3.0,1.0,0.5,1.8,4.4,-2.6,-1.29,0.9,2.2,-0.4,0.20000000000000018,4.0,0.0,1.0,3.0,2.0,6.0,-4.0,1.0,0.25,2.7,8.2,-5.5,-1.39,0.675,2.05,-0.17500000000000004,0.5499999999999998
FC Juárez,3.0,0.0,1.0,2.0,4.0,6.0,-2.0,1.0,0.33,2.4,3.9,-1.5,-0.5,0.7999999999999999,1.3,0.5333333333333333,-0.7,3.0,0.0,0.0,3.0,2.0,11.0,-9.0,0.0,0.0,2.9,7.5,-4.5,-1.51,0.9666666666666667,2.5,-0.30000000000000004,-1.1666666666666665
Querétaro,3.0,0.0,0.0,3.0,1.0,6.0,-5.0,0.0,0.0,1.7,6.3,-4.6,-1.53,0.5666666666666667,2.1,-0.23333333333333334,0.10000000000000009,4.0,0.0,1.0,3.0,3.0,10.0,-7.0,1.0,0.25,2.0,10.1,-8.1,-2.04,0.5,2.525,0.25,0.02499999999999991
