Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,xG per Game,xGA per Game,xPTS per Game,xG per Game Diff,xGA per Game Diff,M_x,W_x,D_x,L_x,G_x,GA_x,PTS_x,xG_x,xGA_x,xPTS_x,xG per Game_x,xGA per Game_x,xPTS per Game_x,xG per Game Diff_x,xGA per Game Diff_x,M_y,W_y,D_y,L_y,G_y,GA_y,PTS_y,xG_y,xGA_y,xPTS_y,xG per Game_y,xGA per Game_y,xPTS per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Paris Saint Germain,34.0,22.0,10.0,2.0,81.0,33.0,76.0,72.88188000000001,45.71050000000001,65.18950000000001,2.143584705882353,1.3444264705882356,1.917338235294118,0.2387682352941174,0.37383823529411797,17.0,9.0,6.0,2.0,42.0,22.0,33.0,34.33094,15.032790000000002,37.057100000000005,2.0194670588235293,0.8842817647058825,2.179829411764706,0.45112117647058847,-0.4098358823529411,17.0,13.0,4.0,0.0,39.0,11.0,43.0,38.550940000000004,30.677709999999998,28.132399999999997,2.2677023529411766,1.804571176470588,1.6548470588235293,0.02641529411764676,1.1575123529411764
Monaco,34.0,20.0,7.0,7.0,68.0,42.0,67.0,65.059735,46.26865799999999,59.862700000000004,1.9135216176470589,1.3608428823529408,1.7606676470588236,0.08647838235294114,0.12554876470588194,17.0,10.0,3.0,4.0,30.0,14.0,33.0,32.02867,17.648232,33.5716,1.8840394117647057,1.038131294117647,1.9747999999999999,-0.11933352941176456,0.2146018823529412,17.0,10.0,4.0,3.0,38.0,28.0,34.0,33.031065,28.620426000000005,26.291100000000004,1.9430038235294116,1.6835544705882357,1.5465352941176473,0.2922902941176473,0.03649564705882402
Brest,34.0,17.0,10.0,7.0,53.0,34.0,61.0,51.950596,40.682143,52.79200000000001,1.527958705882353,1.196533617647059,1.5527058823529414,0.030864823529411778,0.1965336176470589,17.0,8.0,7.0,2.0,25.0,14.0,31.0,31.056428000000004,15.190349000000001,33.270399999999995,1.8268487058823533,0.8935499411764707,1.9570823529411763,-0.3562604705882355,0.07002052941176484,17.0,9.0,3.0,5.0,28.0,20.0,30.0,20.894168000000004,25.491794,19.5216,1.2290687058823533,1.499517294117647,1.1483294117647058,0.4179901176470584,0.32304670588235274
Lille,34.0,16.0,11.0,7.0,52.0,34.0,59.0,55.322634,40.572437,55.306400000000004,1.627136294117647,1.1933069705882353,1.626658823529412,-0.0977245294117648,0.19330697058823532,17.0,11.0,4.0,2.0,34.0,14.0,37.0,36.240803,17.220045,35.259,2.1318119411764704,1.0129438235294117,2.0740588235294117,-0.13181194117647044,0.18941441176470586,17.0,5.0,7.0,5.0,18.0,20.0,22.0,19.081830999999998,23.352392,20.047400000000003,1.1224606470588234,1.3736701176470587,1.179258823529412,-0.0636371176470587,0.19719952941176455
Nice,34.0,15.0,10.0,9.0,40.0,29.0,55.0,54.81460799999999,36.494172000000006,59.1291,1.6121943529411762,1.0733580000000003,1.7390911764705883,-0.43572376470588203,0.22041682352941205,17.0,9.0,4.0,4.0,21.0,11.0,31.0,29.850308000000005,17.079197999999998,31.9724,1.7559004705882355,1.0046587058823528,1.880729411764706,-0.5206063529411766,0.35759988235294105,17.0,6.0,6.0,5.0,19.0,18.0,24.0,24.9643,19.414974,27.1567,1.4684882352941178,1.142057294117647,1.5974529411764706,-0.3508411764705883,0.08323376470588228
Lyon,34.0,16.0,5.0,13.0,49.0,55.0,53.0,55.28017199999999,55.039197,48.033699999999996,1.6258874117647057,1.6187999117647058,1.4127558823529411,-0.18471094117647047,0.0011528529411763966,17.0,7.0,4.0,6.0,25.0,29.0,25.0,32.542786,27.084776,28.028799999999993,1.9142815294117648,1.593222117647059,1.64875294117647,-0.443693294117647,-0.1126602352941175,17.0,9.0,1.0,7.0,24.0,26.0,28.0,22.737386,27.954421,20.0049,1.3374932941176472,1.644377705882353,1.1767588235294117,0.07427141176470586,0.11496594117647074
Lens,34.0,14.0,9.0,11.0,45.0,37.0,51.0,62.08233199999998,49.458264,53.74649999999998,1.82595094117647,1.4546548235294117,1.5807794117647054,-0.5024215294117642,0.3664195294117647,17.0,9.0,4.0,4.0,27.0,18.0,31.0,39.21055700000001,21.964469,32.7269,2.306503352941177,1.2920275882352943,1.9251117647058824,-0.71826805882353,0.23320405882352957,17.0,5.0,5.0,7.0,18.0,19.0,20.0,22.871775,27.493795,21.019599999999997,1.3453985294117647,1.6172820588235293,1.2364470588235292,-0.286575,0.49963499999999983
Marseille,34.0,13.0,11.0,10.0,52.0,41.0,50.0,60.034437999999994,37.616625,60.06290000000001,1.7657187647058823,1.1063713235294117,1.7665558823529415,-0.23630700000000004,-0.0995110294117647,17.0,10.0,6.0,1.0,31.0,13.0,36.0,36.236071,14.501074,37.238,2.1315335882352944,0.8530043529411764,2.190470588235294,-0.30800417647058853,0.08829847058823526,17.0,3.0,5.0,9.0,21.0,28.0,14.0,23.798367000000002,23.115551,22.8249,1.3999039411764707,1.359738294117647,1.3426411764705881,-0.16460982352941178,-0.28732052941176467
Reims,34.0,13.0,8.0,13.0,42.0,47.0,47.0,47.979395,49.94507,45.20579999999999,1.4111586764705881,1.4689726470588236,1.329582352941176,-0.17586455882352925,0.08661970588235302,17.0,8.0,3.0,6.0,19.0,18.0,27.0,24.785001,22.603927000000002,24.969800000000003,1.4579412352941177,1.3296427647058824,1.4688117647058825,-0.34029417647058824,0.27081923529411767,17.0,5.0,5.0,7.0,23.0,29.0,20.0,23.194394000000006,27.341143,20.236,1.3643761176470592,1.6083025294117645,1.1903529411764706,-0.011434941176470925,-0.09757982352941186
Rennes,34.0,12.0,10.0,12.0,53.0,46.0,46.0,56.002964999999996,44.18581299999999,52.4497,1.6471460294117646,1.2995827352941174,1.5426382352941177,-0.08832249999999986,-0.05335844117647093,17.0,7.0,4.0,6.0,34.0,26.0,25.0,34.897559,21.493441,30.4922,2.0527975882352942,1.2643200588235295,1.7936588235294117,-0.052797588235294235,-0.26509170588235276,17.0,5.0,6.0,6.0,19.0,20.0,21.0,21.105406000000002,22.692372000000002,21.9575,1.2414944705882354,1.334845411764706,1.2916176470588234,-0.12384741176470593,0.1583748235294118
