Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Pride,8.0,6.0,2.0,0.0,17.0,4.0,13.0,20.0,2.5,17.9,8.3,9.6,1.2,2.2375,1.0375,-0.11249999999999982,0.5375000000000001,9.0,6.0,3.0,0.0,16.0,8.0,8.0,21.0,2.33,15.4,10.1,5.3,0.59,1.7111111111111112,1.1222222222222222,0.06666666666666643,0.2333333333333334
Spirit,9.0,6.0,1.0,2.0,20.0,12.0,8.0,19.0,2.11,17.2,8.8,8.4,0.93,1.911111111111111,0.9777777777777779,0.31111111111111134,-0.3555555555555554,8.0,6.0,0.0,2.0,16.0,7.0,9.0,18.0,2.25,11.9,9.5,2.5,0.31,1.4875,1.1875,0.5125,0.3125
Current,9.0,6.0,2.0,1.0,28.0,17.0,11.0,20.0,2.22,21.3,9.5,11.8,1.31,2.3666666666666667,1.0555555555555556,0.7444444444444445,-0.8333333333333333,8.0,4.0,3.0,1.0,13.0,9.0,4.0,15.0,1.88,16.8,6.2,10.5,1.32,2.1,0.775,-0.4750000000000001,-0.35
Gotham,9.0,5.0,3.0,1.0,12.0,8.0,4.0,18.0,2.0,11.8,8.7,3.2,0.35,1.3111111111111111,0.9666666666666666,0.022222222222222143,0.07777777777777772,8.0,5.0,1.0,2.0,9.0,5.0,4.0,16.0,2.0,12.6,8.3,4.3,0.54,1.575,1.0375,-0.44999999999999996,0.4125000000000001
Thorns,9.0,5.0,1.0,3.0,16.0,12.0,4.0,16.0,1.78,15.4,11.3,4.0,0.45,1.7111111111111112,1.2555555555555555,0.06666666666666643,-0.07777777777777772,9.0,3.0,2.0,4.0,12.0,13.0,-1.0,11.0,1.22,12.8,12.9,-0.1,-0.02,1.4222222222222223,1.4333333333333333,-0.08888888888888902,-0.011111111111111072
Courage,8.0,7.0,1.0,0.0,16.0,3.0,13.0,22.0,2.75,13.5,7.6,5.8,0.73,1.6875,0.95,0.3125,0.575,9.0,1.0,0.0,8.0,4.0,15.0,-11.0,3.0,0.33,9.0,13.0,-4.1,-0.45,1.0,1.4444444444444444,-0.5555555555555556,-0.22222222222222232
Red Stars,8.0,3.0,0.0,5.0,9.0,12.0,-3.0,9.0,1.13,10.2,11.8,-1.6,-0.2,1.275,1.475,-0.1499999999999999,-0.02499999999999991,9.0,4.0,2.0,3.0,15.0,13.0,2.0,14.0,1.56,10.0,15.5,-5.5,-0.61,1.1111111111111112,1.7222222222222223,0.5555555555555556,0.2777777777777779
Bay FC,9.0,3.0,0.0,6.0,11.0,17.0,-6.0,9.0,1.0,10.3,14.5,-4.2,-0.47,1.1444444444444446,1.6111111111111112,0.07777777777777772,-0.2777777777777777,9.0,4.0,0.0,5.0,12.0,14.0,-2.0,12.0,1.33,14.0,12.6,1.4,0.15,1.5555555555555556,1.4,-0.22222222222222232,-0.15555555555555567
Louisville,9.0,3.0,2.0,4.0,15.0,12.0,3.0,11.0,1.22,13.2,9.1,4.2,0.47,1.4666666666666666,1.011111111111111,0.20000000000000018,-0.3222222222222222,9.0,1.0,5.0,3.0,11.0,14.0,-3.0,8.0,0.89,12.2,14.7,-2.5,-0.28,1.3555555555555554,1.6333333333333333,-0.13333333333333308,0.07777777777777772
Angel City,8.0,2.0,1.0,5.0,7.0,13.0,-6.0,7.0,0.88,9.7,16.4,-6.6,-0.83,1.2125,2.05,-0.3374999999999999,0.4249999999999998,9.0,3.0,2.0,4.0,11.0,14.0,-3.0,11.0,1.22,12.1,12.1,0.0,0.0,1.3444444444444443,1.3444444444444443,-0.12222222222222201,-0.21111111111111125
Reign,9.0,3.0,4.0,2.0,9.0,8.0,1.0,13.0,1.44,13.0,9.0,3.9,0.44,1.4444444444444444,1.0,-0.4444444444444444,0.11111111111111116,9.0,1.0,1.0,7.0,11.0,22.0,-11.0,4.0,0.44,9.1,15.0,-5.9,-0.65,1.011111111111111,1.6666666666666667,0.21111111111111125,-0.7777777777777779
Wave,8.0,3.0,2.0,3.0,9.0,10.0,-1.0,11.0,1.38,11.5,10.1,1.4,0.18,1.4375,1.2625,-0.3125,0.012499999999999956,9.0,0.0,4.0,5.0,4.0,9.0,-5.0,4.0,0.44,9.1,13.3,-4.2,-0.47,1.011111111111111,1.4777777777777779,-0.5666666666666667,0.47777777777777786
Royals,9.0,2.0,2.0,5.0,5.0,9.0,-4.0,8.0,0.89,8.1,15.5,-7.4,-0.83,0.8999999999999999,1.7222222222222223,-0.34444444444444433,0.7222222222222223,9.0,2.0,1.0,6.0,8.0,21.0,-13.0,7.0,0.78,9.8,24.4,-14.6,-1.62,1.088888888888889,2.711111111111111,-0.20000000000000018,0.3777777777777773
Dash,10.0,1.0,4.0,5.0,6.0,11.0,-5.0,7.0,0.7,9.9,21.3,-11.4,-1.14,0.99,2.13,-0.39,1.0299999999999998,8.0,2.0,1.0,5.0,6.0,16.0,-10.0,7.0,0.88,7.2,15.4,-8.1,-1.02,0.9,1.925,-0.15000000000000002,-0.07499999999999996
