Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Inter Miami,14.0,9.0,3.0,2.0,35.0,18.0,17.0,30.0,2.14,25.0,20.4,4.6,0.33,1.7857142857142858,1.457142857142857,0.7142857142857142,0.17142857142857126,13.0,9.0,2.0,2.0,27.0,22.0,5.0,29.0,2.23,17.1,21.1,-4.0,-0.31,1.3153846153846156,1.623076923076923,0.7615384615384615,-0.0692307692307692
FC Cincinnati,14.0,7.0,2.0,5.0,24.0,17.0,7.0,23.0,1.64,24.1,12.6,11.5,0.82,1.7214285714285715,0.9,-0.0071428571428573395,-0.31428571428571417,13.0,9.0,1.0,3.0,24.0,19.0,5.0,28.0,2.15,16.5,17.9,-1.5,-0.11,1.2692307692307692,1.376923076923077,0.5769230769230771,-0.08461538461538454
Crew,12.0,7.0,4.0,1.0,25.0,9.0,16.0,25.0,2.08,20.6,11.5,9.1,0.76,1.7166666666666668,0.9583333333333334,0.3666666666666667,0.20833333333333337,13.0,7.0,3.0,3.0,27.0,15.0,12.0,24.0,1.85,22.6,19.4,3.2,0.25,1.7384615384615385,1.4923076923076921,0.3384615384615386,0.33846153846153837
NY Red Bulls,13.0,7.0,5.0,1.0,25.0,12.0,13.0,26.0,2.0,22.1,10.1,12.0,0.92,1.7000000000000002,0.7769230769230769,0.22307692307692295,-0.1461538461538462,14.0,3.0,7.0,4.0,18.0,22.0,-4.0,16.0,1.14,21.7,21.4,0.3,0.02,1.55,1.5285714285714285,-0.26428571428571423,-0.04285714285714293
NYCFC,13.0,8.0,2.0,3.0,27.0,16.0,11.0,26.0,2.0,25.0,16.1,8.9,0.68,1.9230769230769231,1.2384615384615385,0.15384615384615397,0.007692307692307665,14.0,3.0,4.0,7.0,13.0,20.0,-7.0,13.0,0.93,17.0,21.0,-4.0,-0.29,1.2142857142857142,1.5,-0.2857142857142856,0.0714285714285714
Charlotte,14.0,6.0,5.0,3.0,15.0,12.0,3.0,23.0,1.64,18.0,17.3,0.7,0.05,1.2857142857142858,1.2357142857142858,-0.2142857142857144,0.37857142857142867,13.0,4.0,3.0,6.0,16.0,17.0,-1.0,15.0,1.15,17.0,17.9,-1.0,-0.07,1.3076923076923077,1.376923076923077,-0.07692307692307687,0.0692307692307692
Orlando City,13.0,4.0,4.0,5.0,20.0,15.0,5.0,16.0,1.23,20.3,18.3,2.0,0.16,1.5615384615384615,1.4076923076923078,-0.023076923076922995,0.25384615384615405,14.0,6.0,3.0,5.0,22.0,26.0,-4.0,21.0,1.5,17.1,19.1,-2.0,-0.14,1.2214285714285715,1.3642857142857143,0.34999999999999987,-0.4928571428571429
Toronto FC,13.0,6.0,0.0,7.0,24.0,24.0,0.0,18.0,1.38,19.0,16.8,2.2,0.17,1.4615384615384615,1.2923076923076924,0.3846153846153848,-0.5538461538461539,15.0,4.0,3.0,8.0,12.0,26.0,-14.0,15.0,1.0,13.2,21.4,-8.3,-0.55,0.88,1.4266666666666665,-0.07999999999999996,-0.30666666666666687
Atlanta Utd,13.0,5.0,3.0,5.0,25.0,20.0,5.0,18.0,1.38,23.2,15.5,7.6,0.59,1.7846153846153845,1.1923076923076923,0.13846153846153864,-0.34615384615384626,14.0,3.0,4.0,7.0,11.0,18.0,-7.0,13.0,0.93,17.7,23.4,-5.7,-0.41,1.2642857142857142,1.6714285714285713,-0.47857142857142854,0.38571428571428545
Philadelphia,14.0,3.0,4.0,7.0,21.0,20.0,1.0,13.0,0.93,29.4,19.4,10.0,0.72,2.1,1.3857142857142857,-0.6000000000000001,-0.04285714285714293,13.0,4.0,5.0,4.0,26.0,23.0,3.0,17.0,1.31,18.4,20.6,-2.2,-0.17,1.4153846153846152,1.5846153846153848,0.5846153846153848,-0.1846153846153844
D.C. United,14.0,4.0,3.0,7.0,23.0,30.0,-7.0,15.0,1.07,26.9,19.2,7.7,0.55,1.9214285714285713,1.3714285714285714,-0.27857142857142847,-0.7714285714285714,13.0,3.0,5.0,5.0,18.0,25.0,-7.0,14.0,1.08,16.3,19.8,-3.5,-0.27,1.2538461538461538,1.5230769230769232,0.13076923076923075,-0.3999999999999999
CF Montréal,13.0,4.0,5.0,4.0,19.0,22.0,-3.0,17.0,1.31,19.5,17.8,1.7,0.13,1.5,1.3692307692307693,-0.03846153846153855,-0.32307692307692304,14.0,2.0,4.0,8.0,16.0,36.0,-20.0,10.0,0.71,16.6,31.2,-14.7,-1.05,1.1857142857142857,2.2285714285714286,-0.04285714285714293,-0.34285714285714297
NE Revolution,13.0,4.0,2.0,7.0,13.0,24.0,-11.0,14.0,1.08,14.8,18.4,-3.6,-0.28,1.1384615384615384,1.4153846153846152,-0.1384615384615384,-0.430769230769231,12.0,4.0,0.0,8.0,15.0,25.0,-10.0,12.0,1.0,10.5,27.1,-16.6,-1.38,0.875,2.2583333333333333,0.375,0.17499999999999982
Fire,13.0,4.0,3.0,6.0,16.0,24.0,-8.0,15.0,1.15,17.9,16.9,1.0,0.07,1.376923076923077,1.2999999999999998,-0.14615384615384608,-0.5461538461538464,14.0,2.0,5.0,7.0,17.0,24.0,-7.0,11.0,0.79,18.3,24.3,-6.1,-0.43,1.3071428571428572,1.7357142857142858,-0.09285714285714297,0.021428571428571574
Nashville,14.0,4.0,5.0,5.0,18.0,19.0,-1.0,17.0,1.21,20.1,17.2,2.8,0.2,1.4357142857142857,1.2285714285714284,-0.1499999999999999,-0.12857142857142878,13.0,2.0,3.0,8.0,8.0,25.0,-17.0,9.0,0.69,14.7,28.5,-13.8,-1.07,1.1307692307692307,2.1923076923076925,-0.5153846153846153,0.2692307692307694
LA Galaxy,14.0,10.0,3.0,1.0,33.0,20.0,13.0,33.0,2.36,32.6,21.6,11.0,0.79,2.3285714285714287,1.542857142857143,0.02857142857142847,0.11428571428571432,13.0,5.0,4.0,4.0,19.0,16.0,3.0,19.0,1.46,17.3,22.0,-4.6,-0.36,1.330769230769231,1.6923076923076923,0.13076923076923053,0.46153846153846145
LAFC,14.0,9.0,3.0,2.0,31.0,16.0,15.0,30.0,2.14,30.6,14.0,16.6,1.19,2.185714285714286,1.0,0.02857142857142847,-0.1428571428571428,11.0,5.0,2.0,4.0,17.0,16.0,1.0,17.0,1.55,16.9,15.0,1.9,0.17,1.5363636363636362,1.3636363636363635,0.00909090909090926,-0.09090909090909105
RSL,13.0,9.0,1.0,3.0,30.0,14.0,16.0,28.0,2.15,25.8,13.3,12.5,0.96,1.9846153846153847,1.0230769230769232,0.3230769230769228,-0.053846153846153655,14.0,4.0,7.0,3.0,23.0,22.0,1.0,19.0,1.36,18.8,21.3,-2.5,-0.18,1.342857142857143,1.5214285714285716,0.2999999999999998,-0.04999999999999982
Rapids,13.0,8.0,3.0,2.0,28.0,17.0,11.0,27.0,2.08,25.2,13.4,11.8,0.91,1.9384615384615385,1.0307692307692309,0.21538461538461529,-0.2769230769230768,14.0,5.0,2.0,7.0,25.0,28.0,-3.0,17.0,1.21,23.3,25.8,-2.5,-0.18,1.6642857142857144,1.842857142857143,0.12142857142857144,-0.15714285714285703
