Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Bodø/Glimt,9.0,6.0,3.0,0.0,22.0,8.0,14.0,21.0,2.33,2.4444444444444446,0.8888888888888888,10.0,6.0,2.0,2.0,20.0,9.0,11.0,20.0,2.0,2.0,0.9
Viking,10.0,6.0,3.0,1.0,17.0,10.0,7.0,21.0,2.1,1.7,1.0,8.0,3.0,3.0,2.0,14.0,11.0,3.0,12.0,1.5,1.75,1.375
Brann,9.0,5.0,2.0,2.0,12.0,8.0,4.0,17.0,1.89,1.3333333333333333,0.8888888888888888,9.0,4.0,4.0,1.0,16.0,14.0,2.0,16.0,1.78,1.7777777777777777,1.5555555555555556
Molde,9.0,4.0,2.0,3.0,20.0,14.0,6.0,14.0,1.56,2.2222222222222223,1.5555555555555556,8.0,4.0,2.0,2.0,12.0,6.0,6.0,14.0,1.75,1.5,0.75
Fredrikstad,8.0,2.0,5.0,1.0,9.0,7.0,2.0,11.0,1.38,1.125,0.875,9.0,5.0,2.0,2.0,15.0,9.0,6.0,17.0,1.89,1.6666666666666667,1.0
KFUM Oslo,8.0,0.0,5.0,3.0,8.0,14.0,-6.0,5.0,0.63,1.0,1.75,9.0,5.0,3.0,1.0,15.0,9.0,6.0,18.0,2.0,1.6666666666666667,1.0
HamKam,8.0,1.0,3.0,4.0,7.0,10.0,-3.0,6.0,0.75,0.875,1.25,10.0,4.0,3.0,3.0,15.0,11.0,4.0,15.0,1.5,1.5,1.1
Kristiansund,8.0,4.0,3.0,1.0,15.0,11.0,4.0,15.0,1.88,1.875,1.375,9.0,1.0,3.0,5.0,8.0,14.0,-6.0,6.0,0.67,0.8888888888888888,1.5555555555555556
Rosenborg,8.0,5.0,1.0,2.0,11.0,9.0,2.0,16.0,2.0,1.375,1.125,8.0,1.0,2.0,5.0,12.0,20.0,-8.0,5.0,0.63,1.5,2.5
Sarpsborg 08,9.0,3.0,1.0,5.0,11.0,18.0,-7.0,10.0,1.11,1.2222222222222223,2.0,8.0,3.0,2.0,3.0,15.0,15.0,0.0,11.0,1.38,1.875,1.875
Lillestrøm,8.0,2.0,2.0,4.0,10.0,18.0,-8.0,8.0,1.0,1.25,2.25,8.0,4.0,0.0,4.0,11.0,10.0,1.0,12.0,1.5,1.375,1.25
Strømsgodset,8.0,2.0,3.0,3.0,9.0,9.0,0.0,9.0,1.13,1.125,1.125,10.0,3.0,2.0,5.0,11.0,18.0,-7.0,11.0,1.1,1.1,1.8
Tromsø,10.0,3.0,1.0,6.0,14.0,16.0,-2.0,10.0,1.0,1.4,1.6,8.0,2.0,2.0,4.0,4.0,9.0,-5.0,8.0,1.0,0.5,1.125
Sandefjord,9.0,4.0,1.0,4.0,17.0,16.0,1.0,13.0,1.44,1.8888888888888888,1.7777777777777777,9.0,0.0,4.0,5.0,10.0,16.0,-6.0,4.0,0.44,1.1111111111111112,1.7777777777777777
Haugesund,9.0,3.0,0.0,6.0,6.0,11.0,-5.0,9.0,1.0,0.6666666666666666,1.2222222222222223,8.0,2.0,2.0,4.0,12.0,16.0,-4.0,8.0,1.0,1.5,2.0
Odd,9.0,2.0,3.0,4.0,12.0,17.0,-5.0,9.0,1.0,1.3333333333333333,1.8888888888888888,8.0,2.0,2.0,4.0,6.0,13.0,-7.0,8.0,1.0,0.75,1.625
