Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Libertad,13.0,8.0,3.0,2.0,29.0,12.0,17.0,27.0,2.08,2.230769230769231,0.9230769230769231,13.0,7.0,5.0,1.0,20.0,10.0,10.0,26.0,2.0,1.5384615384615385,0.7692307692307693
Cerro Porteño,13.0,7.0,3.0,3.0,20.0,9.0,11.0,24.0,1.85,1.5384615384615385,0.6923076923076923,13.0,8.0,4.0,1.0,27.0,11.0,16.0,28.0,2.15,2.076923076923077,0.8461538461538461
Olimpia,13.0,5.0,5.0,3.0,17.0,15.0,2.0,20.0,1.54,1.3076923076923077,1.1538461538461537,13.0,6.0,6.0,1.0,15.0,7.0,8.0,24.0,1.85,1.1538461538461537,0.5384615384615384
Sport Luqueño,13.0,4.0,4.0,5.0,13.0,18.0,-5.0,16.0,1.23,1.0,1.3846153846153846,13.0,7.0,3.0,3.0,15.0,10.0,5.0,24.0,1.85,1.1538461538461537,0.7692307692307693
Guaraní,13.0,4.0,6.0,3.0,14.0,11.0,3.0,18.0,1.38,1.0769230769230769,0.8461538461538461,14.0,5.0,5.0,4.0,22.0,18.0,4.0,20.0,1.43,1.5714285714285714,1.2857142857142858
2 de Mayo,13.0,7.0,4.0,2.0,18.0,9.0,9.0,25.0,1.92,1.3846153846153846,0.6923076923076923,14.0,5.0,2.0,7.0,16.0,17.0,-1.0,17.0,1.21,1.1428571428571428,1.2142857142857142
Sol de América,14.0,6.0,2.0,6.0,20.0,21.0,-1.0,20.0,1.43,1.4285714285714286,1.5,12.0,2.0,3.0,7.0,10.0,23.0,-13.0,9.0,0.75,0.8333333333333334,1.9166666666666667
Tacuary,13.0,0.0,7.0,6.0,13.0,25.0,-12.0,7.0,0.54,1.0,1.9230769230769231,13.0,5.0,3.0,5.0,16.0,20.0,-4.0,18.0,1.38,1.2307692307692308,1.5384615384615385
Sportivo Ameliano,13.0,4.0,2.0,7.0,11.0,20.0,-9.0,14.0,1.08,0.8461538461538461,1.5384615384615385,14.0,2.0,6.0,6.0,8.0,18.0,-10.0,12.0,0.86,0.5714285714285714,1.2857142857142858
Nacional,13.0,3.0,5.0,5.0,13.0,15.0,-2.0,14.0,1.08,1.0,1.1538461538461537,13.0,4.0,1.0,8.0,13.0,22.0,-9.0,13.0,1.0,1.0,1.6923076923076923
Sportivo Trinidense,13.0,2.0,2.0,9.0,14.0,18.0,-4.0,8.0,0.62,1.0769230769230769,1.3846153846153846,14.0,5.0,3.0,6.0,22.0,22.0,0.0,18.0,1.29,1.5714285714285714,1.5714285714285714
Club General Caballero JLM,14.0,4.0,5.0,5.0,16.0,19.0,-3.0,17.0,1.21,1.1428571428571428,1.3571428571428572,12.0,0.0,7.0,5.0,8.0,20.0,-12.0,7.0,0.58,0.6666666666666666,1.6666666666666667
