Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Universitario,11.0,11.0,0.0,0.0,30.0,2.0,28.0,33.0,3.0,2.727272727272727,0.18181818181818182,11.0,4.0,5.0,2.0,12.0,8.0,4.0,17.0,1.55,1.0909090909090908,0.7272727272727273
Sporting Cristal,11.0,10.0,0.0,1.0,38.0,8.0,30.0,30.0,2.73,3.4545454545454546,0.7272727272727273,11.0,6.0,2.0,3.0,23.0,19.0,4.0,20.0,1.82,2.090909090909091,1.7272727272727273
Melgar,11.0,10.0,0.0,1.0,25.0,9.0,16.0,30.0,2.73,2.272727272727273,0.8181818181818182,11.0,5.0,2.0,4.0,22.0,17.0,5.0,17.0,1.55,2.0,1.5454545454545454
Alianza Lima,12.0,9.0,1.0,2.0,23.0,7.0,16.0,28.0,2.33,1.9166666666666667,0.5833333333333334,11.0,6.0,0.0,5.0,19.0,14.0,5.0,18.0,1.64,1.7272727272727273,1.2727272727272727
Cusco,11.0,9.0,1.0,1.0,22.0,7.0,15.0,28.0,2.55,2.0,0.6363636363636364,11.0,3.0,1.0,7.0,9.0,20.0,-11.0,10.0,0.91,0.8181818181818182,1.8181818181818181
Asociación Deportiva Tarma,11.0,8.0,2.0,1.0,22.0,8.0,14.0,26.0,2.36,2.0,0.7272727272727273,12.0,3.0,3.0,6.0,16.0,23.0,-7.0,12.0,1.0,1.3333333333333333,1.9166666666666667
Cienciano,11.0,3.0,6.0,2.0,12.0,12.0,0.0,15.0,1.36,1.0909090909090908,1.0909090909090908,11.0,4.0,3.0,4.0,11.0,17.0,-6.0,15.0,1.36,1.0,1.5454545454545454
Comerciantes Unidos,11.0,4.0,3.0,4.0,15.0,15.0,0.0,15.0,1.36,1.3636363636363635,1.3636363636363635,11.0,3.0,1.0,7.0,11.0,27.0,-16.0,10.0,0.91,1.0,2.4545454545454546
CDC Santa Rosa,11.0,7.0,2.0,2.0,24.0,9.0,15.0,23.0,2.09,2.1818181818181817,0.8181818181818182,12.0,1.0,3.0,8.0,10.0,25.0,-15.0,6.0,0.5,0.8333333333333334,2.0833333333333335
U César Vallejo,11.0,5.0,4.0,2.0,18.0,14.0,4.0,19.0,1.73,1.6363636363636365,1.2727272727272727,11.0,0.0,4.0,7.0,7.0,21.0,-14.0,4.0,0.36,0.6363636363636364,1.9090909090909092
Atlético Grau,11.0,4.0,6.0,1.0,17.0,7.0,10.0,18.0,1.64,1.5454545454545454,0.6363636363636364,10.0,2.0,3.0,5.0,8.0,12.0,-4.0,9.0,0.9,0.8,1.2
Sport Boys,12.0,7.0,3.0,2.0,17.0,8.0,9.0,24.0,2.0,1.4166666666666667,0.6666666666666666,11.0,1.0,1.0,9.0,8.0,23.0,-15.0,4.0,0.36,0.7272727272727273,2.090909090909091
Sport Huancayo,11.0,6.0,2.0,3.0,14.0,9.0,5.0,20.0,1.82,1.2727272727272727,0.8181818181818182,11.0,1.0,3.0,7.0,8.0,26.0,-18.0,6.0,0.55,0.7272727272727273,2.3636363636363638
UTC,12.0,6.0,2.0,4.0,23.0,20.0,3.0,20.0,1.67,1.9166666666666667,1.6666666666666667,11.0,0.0,3.0,8.0,4.0,16.0,-12.0,3.0,0.27,0.36363636363636365,1.4545454545454546
Deportivo Garcilaso,12.0,3.0,3.0,6.0,12.0,16.0,-4.0,12.0,1.0,1.0,1.3333333333333333,11.0,3.0,2.0,6.0,13.0,14.0,-1.0,11.0,1.0,1.1818181818181819,1.2727272727272727
Alianza Atlético,11.0,4.0,4.0,3.0,13.0,8.0,5.0,16.0,1.45,1.1818181818181819,0.7272727272727273,12.0,1.0,4.0,7.0,4.0,16.0,-12.0,7.0,0.58,0.3333333333333333,1.3333333333333333
Mannucci,11.0,4.0,3.0,4.0,10.0,19.0,-9.0,15.0,1.36,0.9090909090909091,1.7272727272727273,11.0,0.0,3.0,8.0,5.0,29.0,-24.0,3.0,0.27,0.45454545454545453,2.6363636363636362
Unión Comercio,10.0,2.0,4.0,4.0,14.0,19.0,-5.0,10.0,1.0,1.4,1.9,12.0,0.0,3.0,9.0,7.0,22.0,-15.0,3.0,0.25,0.5833333333333334,1.8333333333333333
