Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Lech Poznań,3.0,3.0,0.0,0.0,7.0,1.0,6.0,9.0,3.0,2.3333333333333335,0.3333333333333333,4.0,2.0,1.0,1.0,4.0,2.0,2.0,7.0,1.75,1.0,0.5
Piast Gliwice,3.0,2.0,1.0,0.0,5.0,2.0,3.0,7.0,2.33,1.6666666666666667,0.6666666666666666,4.0,2.0,1.0,1.0,4.0,4.0,0.0,7.0,1.75,1.0,1.0
Cracovia,3.0,1.0,1.0,1.0,5.0,6.0,-1.0,4.0,1.33,1.6666666666666667,2.0,4.0,3.0,0.0,1.0,8.0,4.0,4.0,9.0,2.25,2.0,1.0
Legia Warsaw,3.0,2.0,0.0,1.0,7.0,3.0,4.0,6.0,2.0,2.3333333333333335,1.0,3.0,1.0,2.0,0.0,4.0,3.0,1.0,5.0,1.67,1.3333333333333333,1.0
Widzew Łódź,3.0,2.0,1.0,0.0,5.0,3.0,2.0,7.0,2.33,1.6666666666666667,1.0,3.0,1.0,1.0,1.0,4.0,4.0,0.0,4.0,1.33,1.3333333333333333,1.3333333333333333
RKS Raków,3.0,0.0,1.0,2.0,0.0,2.0,-2.0,1.0,0.33,0.0,0.6666666666666666,4.0,3.0,1.0,0.0,5.0,1.0,4.0,10.0,2.5,1.25,0.25
Pogoń Szczecin,3.0,3.0,0.0,0.0,6.0,0.0,6.0,9.0,3.0,2.0,0.0,3.0,0.0,1.0,2.0,2.0,5.0,-3.0,1.0,0.33,0.6666666666666666,1.6666666666666667
Jagiellonia,3.0,2.0,0.0,1.0,6.0,4.0,2.0,6.0,2.0,2.0,1.3333333333333333,2.0,1.0,0.0,1.0,4.0,5.0,-1.0,3.0,1.5,2.0,2.5
Zagłębie Lubin,4.0,2.0,1.0,1.0,4.0,3.0,1.0,7.0,1.75,1.0,0.75,3.0,0.0,1.0,2.0,1.0,4.0,-3.0,1.0,0.33,0.3333333333333333,1.3333333333333333
Górnik Zabrze,2.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,2.0,0.5,0.0,4.0,1.0,1.0,2.0,6.0,8.0,-2.0,4.0,1.0,1.5,2.0
Katowice,4.0,1.0,1.0,2.0,4.0,4.0,0.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,4.0,1.33,1.0,1.0
Puszcza Niepołomice,4.0,1.0,3.0,0.0,8.0,5.0,3.0,6.0,1.5,2.0,1.25,3.0,0.0,1.0,2.0,0.0,3.0,-3.0,1.0,0.33,0.0,1.0
Motor Lublin,3.0,0.0,2.0,1.0,1.0,3.0,-2.0,2.0,0.67,0.3333333333333333,1.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,4.0,2.0,1.0,0.0
Korona Kielce,3.0,1.0,0.0,2.0,2.0,4.0,-2.0,3.0,1.0,0.6666666666666666,1.3333333333333333,4.0,0.0,3.0,1.0,2.0,5.0,-3.0,3.0,0.75,0.5,1.25
Radomiak Radom,3.0,1.0,0.0,2.0,5.0,6.0,-1.0,3.0,1.0,1.6666666666666667,2.0,3.0,1.0,0.0,2.0,5.0,8.0,-3.0,3.0,1.0,1.6666666666666667,2.6666666666666665
Śląsk Wrocław,3.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,-2.0,1.0,0.5,0.0,1.0
Stal Mielec,4.0,1.0,1.0,2.0,3.0,4.0,-1.0,4.0,1.0,0.75,1.0,3.0,0.0,0.0,3.0,1.0,5.0,-4.0,0.0,0.0,0.3333333333333333,1.6666666666666667
Lechia Gdańsk,3.0,0.0,1.0,2.0,2.0,5.0,-3.0,1.0,0.33,0.6666666666666666,1.6666666666666667,3.0,0.0,1.0,2.0,3.0,8.0,-5.0,1.0,0.33,1.0,2.6666666666666665
