Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Sporting CP,2.0,2.0,0.0,0.0,5.0,1.0,4.0,6.0,3.0,5.9,0.9,5.0,2.48,2.95,0.45,-0.4500000000000002,-0.04999999999999999,2.0,2.0,0.0,0.0,11.0,1.0,10.0,6.0,3.0,7.1,1.4,5.6,2.82,3.55,0.7,1.9500000000000002,0.19999999999999996
Porto,2.0,2.0,0.0,0.0,5.0,0.0,5.0,6.0,3.0,6.9,0.1,6.8,3.41,3.45,0.05,-0.9500000000000002,0.05,2.0,1.0,0.0,1.0,2.0,2.0,0.0,3.0,1.5,1.5,3.7,-2.2,-1.08,0.75,1.85,0.25,0.8500000000000001
Famalicão,2.0,2.0,0.0,0.0,3.0,0.0,3.0,6.0,3.0,2.2,1.1,1.1,0.56,1.1,0.55,0.3999999999999999,0.55,1.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,1.9,0.7,1.2,1.19,1.9,0.7,1.1,0.7
Santa Clara,2.0,1.0,0.0,1.0,2.0,3.0,-1.0,3.0,1.5,2.1,1.8,0.3,0.15,1.05,0.9,-0.050000000000000044,-0.6,2.0,2.0,0.0,0.0,6.0,1.0,5.0,6.0,3.0,3.4,0.9,2.5,1.24,1.7,0.45,1.3,-0.04999999999999999
Braga,2.0,1.0,1.0,0.0,4.0,2.0,2.0,4.0,2.0,3.1,3.1,0.0,-0.01,1.55,1.55,0.44999999999999996,0.55,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.1,0.6,0.4,0.44,1.1,0.6,-0.10000000000000009,0.6
Benfica,2.0,2.0,0.0,0.0,4.0,0.0,4.0,6.0,3.0,3.8,0.5,3.4,1.7,1.9,0.25,0.10000000000000009,0.25,2.0,0.0,1.0,1.0,1.0,3.0,-2.0,1.0,0.5,2.3,1.7,0.6,0.29,1.15,0.85,-0.6499999999999999,-0.65
Moreirense,2.0,1.0,1.0,0.0,4.0,2.0,2.0,4.0,2.0,2.6,2.5,0.1,0.05,1.3,1.25,0.7,0.25,2.0,1.0,0.0,1.0,3.0,4.0,-1.0,3.0,1.5,4.5,3.1,1.5,0.73,2.25,1.55,-0.75,-0.44999999999999996
Vitória,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.6,0.2,1.4,1.4,1.6,0.2,-0.6000000000000001,0.2,2.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.5,2.2,0.9,1.2,0.62,1.1,0.45,-0.6000000000000001,-0.04999999999999999
Gil Vicente FC,1.0,1.0,0.0,0.0,4.0,2.0,2.0,3.0,3.0,2.4,1.4,1.0,0.96,2.4,1.4,1.6,-0.6000000000000001,2.0,0.0,1.0,1.0,0.0,3.0,-3.0,1.0,0.5,2.1,3.9,-1.8,-0.91,1.05,1.95,-1.05,0.44999999999999996
Boavista,2.0,0.0,1.0,1.0,0.0,1.0,-1.0,1.0,0.5,2.2,1.3,0.8,0.42,1.1,0.65,-1.1,0.15000000000000002,2.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.5,1.4,1.6,-0.2,-0.09,0.7,0.8,-0.19999999999999996,0.30000000000000004
AVS Futebol,2.0,1.0,1.0,0.0,2.0,1.0,1.0,4.0,2.0,1.7,1.9,-0.1,-0.07,0.85,0.95,0.15000000000000002,0.44999999999999996,2.0,0.0,0.0,2.0,3.0,6.0,-3.0,0.0,0.0,2.1,3.7,-1.6,-0.81,1.05,1.85,0.44999999999999996,-1.15
Arouca,2.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.5,1.4,2.0,-0.5,-0.27,0.7,1.0,-0.19999999999999996,0.5,1.0,0.0,0.0,1.0,1.0,3.0,-2.0,0.0,0.0,1.0,2.4,-1.4,-1.37,1.0,2.4,0.0,-0.6000000000000001
Rio Ave,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.4,0.5,0.8,0.82,1.4,0.5,-0.3999999999999999,0.5,2.0,0.0,0.0,2.0,1.0,5.0,-4.0,0.0,0.0,0.5,6.4,-5.9,-2.97,0.25,3.2,0.25,0.7000000000000002
Casa Pia,2.0,0.0,0.0,2.0,0.0,3.0,-3.0,0.0,0.0,1.7,1.8,-0.2,-0.08,0.85,0.9,-0.85,-0.6,2.0,1.0,0.0,1.0,1.0,3.0,-2.0,3.0,1.5,0.9,3.0,-2.1,-1.04,0.45,1.5,0.04999999999999999,0.0
Estoril,2.0,0.0,1.0,1.0,1.0,4.0,-3.0,1.0,0.5,0.7,4.7,-4.1,-2.03,0.35,2.35,0.15000000000000002,0.3500000000000001,2.0,0.0,1.0,1.0,0.0,1.0,-1.0,1.0,0.5,0.5,3.1,-2.7,-1.34,0.25,1.55,-0.25,1.05
Estrela,2.0,0.0,0.0,2.0,0.0,4.0,-4.0,0.0,0.0,1.2,2.5,-1.3,-0.66,0.6,1.25,-0.6,-0.75,2.0,0.0,1.0,1.0,1.0,2.0,-1.0,1.0,0.5,0.8,2.7,-1.9,-0.95,0.4,1.35,0.09999999999999998,0.3500000000000001
Nacional,1.0,0.0,0.0,1.0,1.0,6.0,-5.0,0.0,0.0,1.2,3.1,-2.0,-1.95,1.2,3.1,-0.19999999999999996,-2.9,2.0,0.0,1.0,1.0,1.0,2.0,-1.0,1.0,0.5,1.7,2.2,-0.6,-0.28,0.85,1.1,-0.35,0.10000000000000009
Farense,2.0,0.0,0.0,2.0,1.0,7.0,-6.0,0.0,0.0,1.7,6.1,-4.4,-2.2,0.85,3.05,-0.35,-0.4500000000000002,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.5,1.4,-0.8,-0.82,0.5,1.4,-0.5,0.3999999999999999
