Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,xG per Game,xGA per Game,xPTS per Game,xG per Game Diff,xGA per Game Diff,M_x,W_x,D_x,L_x,G_x,GA_x,PTS_x,xG_x,xGA_x,xPTS_x,xG per Game_x,xGA per Game_x,xPTS per Game_x,xG per Game Diff_x,xGA per Game Diff_x,M_y,W_y,D_y,L_y,G_y,GA_y,PTS_y,xG_y,xGA_y,xPTS_y,xG per Game_y,xGA per Game_y,xPTS per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Zenit St. Petersburg,4.0,4.0,0.0,0.0,14.0,0.0,12.0,7.834300000000001,3.8741149999999998,8.452399999999999,1.9585750000000002,0.9685287499999999,2.1130999999999998,1.5414249999999998,0.9685287499999999,2.0,2.0,0.0,0.0,6.0,0.0,6.0,3.43247,2.236126,3.5841,1.716235,1.118063,1.79205,1.283765,1.118063,2.0,2.0,0.0,0.0,8.0,0.0,6.0,4.40183,1.637989,4.8683,2.200915,0.8189945,2.43415,1.7990849999999998,0.8189945
Dinamo Moscow,4.0,3.0,0.0,1.0,8.0,3.0,9.0,6.52772,5.424606,6.3958,1.63193,1.3561515,1.59895,0.3680699999999999,0.6061515,2.0,2.0,0.0,0.0,6.0,2.0,6.0,3.75091,3.78807,2.7356,1.875455,1.894035,1.3678,1.124545,0.8940349999999999,2.0,1.0,0.0,1.0,2.0,1.0,3.0,2.7768100000000002,1.636536,3.6602,1.3884050000000001,0.818268,1.8301,-0.3884050000000001,0.318268
Lokomotiv Moscow,4.0,3.0,0.0,1.0,11.0,5.0,9.0,7.39372,3.9679599999999997,7.8879,1.84843,0.9919899999999999,1.971975,0.90157,-0.2580100000000001,2.0,2.0,0.0,0.0,5.0,2.0,6.0,2.7974099999999997,1.397648,3.7164,1.3987049999999999,0.698824,1.8582,1.1012950000000001,-0.301176,2.0,1.0,0.0,1.0,6.0,3.0,3.0,4.59631,2.570312,4.1715,2.298155,1.285156,2.08575,0.701845,-0.21484400000000003
CSKA Moscow,4.0,2.0,1.0,1.0,9.0,3.0,7.0,5.759794,4.260353,6.253399999999999,1.4399485,1.06508825,1.5633499999999998,0.8100514999999999,0.31508825000000007,1.0,1.0,0.0,0.0,5.0,1.0,3.0,2.89782,1.11862,2.5311,2.89782,1.11862,2.5311,2.10218,0.11861999999999995,3.0,1.0,1.0,1.0,4.0,2.0,4.0,2.861974,3.141733,3.7222999999999997,0.9539913333333333,1.0472443333333332,1.2407666666666666,0.37934199999999996,0.3805776666666666
Spartak Moscow,3.0,2.0,0.0,1.0,6.0,3.0,6.0,5.990661,3.1924710000000003,5.7666,1.996887,1.064157,1.9222000000000001,0.0031129999999999214,0.06415700000000002,1.0,1.0,0.0,0.0,3.0,0.0,3.0,1.51581,0.473065,2.3038,1.51581,0.473065,2.3038,1.48419,0.473065,2.0,1.0,0.0,1.0,3.0,3.0,3.0,4.474851,2.719406,3.4628,2.2374255,1.359703,1.7314,-0.7374255000000001,-0.1402969999999999
FC Krasnodar,4.0,1.0,3.0,0.0,3.0,2.0,6.0,6.394950000000001,4.107416000000001,7.2369,1.5987375000000001,1.0268540000000002,1.809225,-0.8487375000000001,0.5268540000000002,2.0,1.0,1.0,0.0,2.0,1.0,4.0,3.9218900000000003,2.1960930000000003,4.063,1.9609450000000002,1.0980465000000001,2.0315,-0.9609450000000002,0.5980465000000001,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.4730600000000003,1.911323,3.1738999999999997,1.2365300000000001,0.9556615,1.5869499999999999,-0.7365300000000001,0.45566150000000005
Nizhny Novgorod,4.0,2.0,0.0,2.0,4.0,7.0,6.0,3.828147,4.688929,5.028499999999999,0.95703675,1.17223225,1.2571249999999998,0.04296325000000001,-0.57776775,3.0,1.0,0.0,2.0,3.0,7.0,3.0,2.880262,4.342391,2.9196,0.9600873333333334,1.4474636666666667,0.9732,0.039912666666666596,-0.8858696666666668,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.947885,0.346538,2.1088999999999998,0.947885,0.346538,2.1088999999999998,0.05211500000000002,0.346538
FC Rostov,4.0,1.0,2.0,1.0,4.0,7.0,5.0,3.925036,4.619558,5.1701999999999995,0.981259,1.1548895,1.2925499999999999,0.018741000000000008,-0.5951105000000001,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.16298,1.858201,2.9903,1.08149,0.9291005,1.49515,-0.5814900000000001,0.4291005,2.0,1.0,0.0,1.0,3.0,6.0,3.0,1.7620559999999998,2.761357,2.1799,0.8810279999999999,1.3806785,1.08995,0.6189720000000001,-1.6193215
FC Orenburg,4.0,1.0,2.0,1.0,5.0,7.0,5.0,5.72403,5.56095,5.810499999999999,1.4310075,1.3902375,1.4526249999999998,-0.1810075,-0.3597625,3.0,1.0,2.0,0.0,4.0,2.0,5.0,4.60541,2.6631299999999998,5.473599999999999,1.5351366666666666,0.8877099999999999,1.8245333333333331,-0.20180333333333333,0.22104333333333326,1.0,0.0,0.0,1.0,1.0,5.0,0.0,1.11862,2.89782,0.3369,1.11862,2.89782,0.3369,-0.11861999999999995,-2.10218
Rubin Kazan,4.0,1.0,1.0,2.0,7.0,10.0,4.0,5.0357389999999995,6.8356200000000005,4.104900000000001,1.2589347499999999,1.7089050000000001,1.0262250000000002,0.4910652500000001,-0.7910949999999999,2.0,0.0,0.0,2.0,2.0,7.0,0.0,1.827209,3.69163,1.2789000000000001,0.9136045,1.845815,0.6394500000000001,0.08639549999999996,-1.654185,2.0,1.0,1.0,0.0,5.0,3.0,4.0,3.20853,3.14399,2.826,1.604265,1.571995,1.413,0.895735,0.07199500000000003
