Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Al-Hilal,17.0,16.0,1.0,0.0,50.0,9.0,41.0,49.0,2.88,2.9411764705882355,0.5294117647058824,17.0,15.0,2.0,0.0,51.0,14.0,37.0,47.0,2.76,3.0,0.8235294117647058
Al-Nassr,17.0,12.0,3.0,2.0,50.0,23.0,27.0,39.0,2.29,2.9411764705882355,1.3529411764705883,17.0,14.0,1.0,2.0,50.0,19.0,31.0,43.0,2.53,2.9411764705882355,1.1176470588235294
Al-Ahli,17.0,11.0,4.0,2.0,29.0,10.0,19.0,37.0,2.18,1.7058823529411764,0.5882352941176471,17.0,8.0,4.0,5.0,38.0,25.0,13.0,28.0,1.65,2.235294117647059,1.4705882352941178
Al-Taawoun,17.0,9.0,3.0,5.0,28.0,19.0,9.0,30.0,1.76,1.6470588235294117,1.1176470588235294,17.0,7.0,8.0,2.0,23.0,16.0,7.0,29.0,1.71,1.3529411764705883,0.9411764705882353
Al-Ittihad,17.0,9.0,2.0,6.0,34.0,32.0,2.0,29.0,1.71,2.0,1.8823529411764706,17.0,7.0,4.0,6.0,29.0,22.0,7.0,25.0,1.47,1.7058823529411764,1.2941176470588236
Al-Ettifaq,17.0,6.0,7.0,4.0,22.0,19.0,3.0,25.0,1.47,1.2941176470588236,1.1176470588235294,17.0,6.0,5.0,6.0,21.0,15.0,6.0,23.0,1.35,1.2352941176470589,0.8823529411764706
Al-Fateh,17.0,6.0,5.0,6.0,28.0,25.0,3.0,23.0,1.35,1.6470588235294117,1.4705882352941178,17.0,6.0,4.0,7.0,29.0,30.0,-1.0,22.0,1.29,1.7058823529411764,1.7647058823529411
Al-Shabab,17.0,8.0,3.0,6.0,31.0,22.0,9.0,27.0,1.59,1.8235294117647058,1.2941176470588236,17.0,4.0,5.0,8.0,14.0,20.0,-6.0,17.0,1.0,0.8235294117647058,1.1764705882352942
Al-Fayha,17.0,4.0,7.0,6.0,18.0,23.0,-5.0,19.0,1.12,1.0588235294117647,1.3529411764705883,17.0,7.0,4.0,6.0,26.0,29.0,-3.0,25.0,1.47,1.5294117647058822,1.7058823529411764
Damac,17.0,6.0,6.0,5.0,26.0,19.0,7.0,24.0,1.41,1.5294117647058822,1.1176470588235294,17.0,4.0,5.0,8.0,18.0,26.0,-8.0,17.0,1.0,1.0588235294117647,1.5294117647058822
Al-Khaleej,17.0,3.0,6.0,8.0,19.0,26.0,-7.0,15.0,0.88,1.1176470588235294,1.5294117647058822,17.0,6.0,4.0,7.0,17.0,21.0,-4.0,22.0,1.29,1.0,1.2352941176470589
Al-Raed,17.0,5.0,4.0,8.0,20.0,25.0,-5.0,19.0,1.12,1.1764705882352942,1.4705882352941178,17.0,4.0,6.0,7.0,21.0,24.0,-3.0,18.0,1.06,1.2352941176470589,1.411764705882353
Al-Wehda,17.0,6.0,4.0,7.0,31.0,28.0,3.0,22.0,1.29,1.8235294117647058,1.6470588235294117,17.0,4.0,2.0,11.0,14.0,32.0,-18.0,14.0,0.82,0.8235294117647058,1.8823529411764706
Al-Riyadh SC,17.0,4.0,7.0,6.0,15.0,22.0,-7.0,19.0,1.12,0.8823529411764706,1.2941176470588236,17.0,4.0,4.0,9.0,18.0,35.0,-17.0,16.0,0.94,1.0588235294117647,2.0588235294117645
Al Okhdood SC,17.0,6.0,1.0,10.0,20.0,25.0,-5.0,19.0,1.12,1.1764705882352942,1.4705882352941178,17.0,3.0,5.0,9.0,13.0,27.0,-14.0,14.0,0.82,0.7647058823529411,1.588235294117647
Abha,17.0,9.0,3.0,5.0,22.0,30.0,-8.0,30.0,1.76,1.2941176470588236,1.7647058823529411,17.0,0.0,2.0,15.0,16.0,57.0,-41.0,2.0,0.12,0.9411764705882353,3.3529411764705883
Al-Ta'ee,17.0,6.0,4.0,7.0,22.0,29.0,-7.0,22.0,1.29,1.2941176470588236,1.7058823529411764,17.0,2.0,3.0,12.0,12.0,35.0,-23.0,9.0,0.53,0.7058823529411765,2.0588235294117645
Al-Hazem,17.0,3.0,5.0,9.0,17.0,41.0,-24.0,14.0,0.82,1.0,2.411764705882353,17.0,1.0,7.0,9.0,17.0,35.0,-18.0,10.0,0.59,1.0,2.0588235294117645
