Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Red Star,3.0,2.0,1.0,0.0,10.0,3.0,7.0,7.0,2.33,3.3333333333333335,1.0,2.0,2.0,0.0,0.0,8.0,1.0,7.0,6.0,3.0,4.0,0.5
Čukarički,4.0,3.0,0.0,1.0,9.0,5.0,4.0,9.0,2.25,2.25,1.25,3.0,1.0,1.0,1.0,4.0,5.0,-1.0,4.0,1.33,1.3333333333333333,1.6666666666666667
FK Železničar Pančevo,3.0,2.0,1.0,0.0,5.0,2.0,3.0,7.0,2.33,1.6666666666666667,0.6666666666666666,4.0,2.0,0.0,2.0,5.0,6.0,-1.0,6.0,1.5,1.25,1.5
OFK Beograd,3.0,1.0,0.0,2.0,5.0,7.0,-2.0,3.0,1.0,1.6666666666666667,2.3333333333333335,4.0,3.0,1.0,0.0,6.0,2.0,4.0,10.0,2.5,1.5,0.5
Partizan,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,2.0,0.0,3.0,2.0,1.0,0.0,5.0,0.0,5.0,7.0,2.33,1.6666666666666667,0.0
Mladost Lučani,4.0,2.0,0.0,2.0,7.0,6.0,1.0,6.0,1.5,1.75,1.5,2.0,1.0,1.0,0.0,3.0,2.0,1.0,4.0,2.0,1.5,1.0
Radnički Niš,3.0,3.0,0.0,0.0,6.0,2.0,4.0,9.0,3.0,2.0,0.6666666666666666,3.0,0.0,0.0,3.0,1.0,9.0,-8.0,0.0,0.0,0.3333333333333333,3.0
FK IMT Novi Beograd,2.0,1.0,1.0,0.0,3.0,1.0,2.0,4.0,2.0,1.5,0.5,4.0,1.0,1.0,2.0,5.0,6.0,-1.0,4.0,1.0,1.25,1.5
Napredak Kruš,4.0,1.0,1.0,2.0,4.0,5.0,-1.0,4.0,1.0,1.0,1.25,3.0,1.0,1.0,1.0,4.0,5.0,-1.0,4.0,1.33,1.3333333333333333,1.6666666666666667
Tekstilac Odžaci,4.0,1.0,1.0,2.0,4.0,9.0,-5.0,4.0,1.0,1.0,2.25,3.0,1.0,0.0,2.0,2.0,5.0,-3.0,3.0,1.0,0.6666666666666666,1.6666666666666667
Radnički Kragujevac,3.0,1.0,1.0,1.0,8.0,5.0,3.0,4.0,1.33,2.6666666666666665,1.6666666666666667,2.0,1.0,0.0,1.0,5.0,4.0,1.0,3.0,1.5,2.5,2.0
TSC Bačka Top,3.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.33,0.3333333333333333,0.3333333333333333,2.0,1.0,0.0,1.0,3.0,2.0,1.0,3.0,1.5,1.5,1.0
Novi Pazar,4.0,2.0,1.0,1.0,6.0,4.0,2.0,7.0,1.75,1.5,1.0,2.0,0.0,0.0,2.0,2.0,6.0,-4.0,0.0,0.0,1.0,3.0
Spartak Subotic,2.0,1.0,1.0,0.0,2.0,1.0,1.0,4.0,2.0,1.0,0.5,4.0,0.0,1.0,3.0,2.0,7.0,-5.0,1.0,0.25,0.5,1.75
Vojvodina,2.0,0.0,0.0,2.0,2.0,5.0,-3.0,0.0,0.0,1.0,2.5,3.0,1.0,1.0,1.0,6.0,6.0,0.0,4.0,1.33,2.0,2.0
FK Jedinstvo Ub,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,0.0,0.6666666666666666,2.6666666666666665,4.0,0.0,1.0,3.0,3.0,10.0,-7.0,1.0,0.25,0.75,2.5
