Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,xG per Game,xGA per Game,xPTS per Game,xG per Game Diff,xGA per Game Diff,M_x,W_x,D_x,L_x,G_x,GA_x,PTS_x,xG_x,xGA_x,xPTS_x,xG per Game_x,xGA per Game_x,xPTS per Game_x,xG per Game Diff_x,xGA per Game Diff_x,M_y,W_y,D_y,L_y,G_y,GA_y,PTS_y,xG_y,xGA_y,xPTS_y,xG per Game_y,xGA per Game_y,xPTS per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Torino,3.0,2.0,1.0,0.0,5.0,3.0,7.0,5.189782,6.018046,3.6416,1.7299273333333334,2.0060153333333335,1.2138666666666666,-0.06326066666666663,1.0060153333333335,1.0,1.0,0.0,0.0,2.0,1.0,3.0,2.49919,3.08667,1.0296,2.49919,3.08667,1.0296,-0.49919,2.08667,2.0,1.0,1.0,0.0,3.0,2.0,4.0,2.690592,2.931376,2.612,1.345296,1.465688,1.306,0.15470399999999995,0.4656880000000001
Inter,3.0,2.0,1.0,0.0,8.0,2.0,7.0,6.791969999999999,3.709116,6.1956999999999995,2.2639899999999997,1.236372,2.065233333333333,0.4026766666666668,0.5697053333333334,2.0,2.0,0.0,0.0,6.0,0.0,6.0,4.78541,1.396256,5.1003,2.392705,0.698128,2.55015,0.6072950000000001,0.698128,1.0,0.0,1.0,0.0,2.0,2.0,1.0,2.00656,2.31286,1.0954,2.00656,2.31286,1.0954,-0.006559999999999899,0.31286000000000014
Juventus,2.0,2.0,0.0,0.0,6.0,0.0,6.0,2.6673299999999998,1.049849,4.2084,1.3336649999999999,0.5249245,2.1042,1.6663350000000001,0.5249245,1.0,1.0,0.0,0.0,3.0,0.0,3.0,1.30582,0.171238,2.3924,1.30582,0.171238,2.3924,1.69418,0.171238,1.0,1.0,0.0,0.0,3.0,0.0,3.0,1.36151,0.878611,1.816,1.36151,0.878611,1.816,1.63849,0.878611
Napoli,3.0,2.0,0.0,1.0,5.0,4.0,6.0,5.329066000000001,4.252058,4.8165000000000004,1.7763553333333337,1.4173526666666667,1.6055000000000001,-0.10968866666666699,0.08401933333333345,2.0,2.0,0.0,0.0,5.0,1.0,6.0,4.35389,2.446698,4.137600000000001,2.176945,1.223349,2.0688000000000004,0.3230550000000001,0.723349,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.975176,1.80536,0.6789000000000001,0.975176,1.80536,0.6789000000000001,-0.975176,-1.19464
Empoli,3.0,1.0,2.0,0.0,3.0,2.0,5.0,4.7701530000000005,3.8720879999999998,4.5617,1.590051,1.2906959999999998,1.5205666666666666,-0.5900510000000001,0.6240293333333332,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.578573,0.327848,1.5191,0.578573,0.327848,1.5191,-0.578573,0.327848,2.0,1.0,1.0,0.0,3.0,2.0,4.0,4.19158,3.5442400000000003,3.0426,2.09579,1.7721200000000001,1.5213,-0.59579,0.7721200000000001
Lazio,3.0,1.0,1.0,1.0,6.0,5.0,4.0,5.816610000000001,2.7263740000000003,6.4047,1.9388700000000003,0.9087913333333334,2.1349,0.061129999999999685,-0.7578753333333333,2.0,1.0,1.0,0.0,5.0,3.0,4.0,4.6134699999999995,1.700974,4.9292,2.3067349999999998,0.850487,2.4646,0.19326500000000024,-0.649513,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.20314,1.0254,1.4755,1.20314,1.0254,1.4755,-0.2031400000000001,-0.9745999999999999
Udinese,2.0,1.0,1.0,0.0,3.0,2.0,4.0,1.970021,4.51334,1.3304,0.9850105,2.25667,0.6652,0.5149895,1.2566700000000002,1.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0254,1.20314,1.2124,1.0254,1.20314,1.2124,0.9745999999999999,0.2031400000000001,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.944621,3.3102,0.118,0.944621,3.3102,0.118,0.055378999999999956,2.3102
Genoa,2.0,1.0,1.0,0.0,3.0,2.0,4.0,2.973159,2.407931,3.2224,1.4865795,1.2039655,1.6112,0.013420500000000057,0.20396550000000002,1.0,0.0,1.0,0.0,2.0,2.0,1.0,2.31286,2.00656,1.6357,2.31286,2.00656,1.6357,-0.31286000000000014,0.006559999999999899,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.660299,0.401371,1.5867,0.660299,0.401371,1.5867,0.33970100000000003,0.401371
Parma Calcio 1913,3.0,1.0,1.0,1.0,4.0,4.0,4.0,6.2028,5.1946200000000005,4.9777000000000005,2.0676,1.73154,1.6592333333333336,-0.7342666666666668,0.3982066666666668,2.0,1.0,1.0,0.0,3.0,2.0,4.0,4.30062,2.9112500000000003,3.8466000000000005,2.15031,1.4556250000000002,1.9233000000000002,-0.6503100000000002,0.45562500000000017,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.90218,2.28337,1.1311,1.90218,2.28337,1.1311,-0.90218,0.2833700000000001
Lecce,3.0,1.0,0.0,2.0,1.0,6.0,3.0,4.675606,6.42858,3.2325999999999997,1.5585353333333334,2.14286,1.0775333333333332,-1.2252020000000001,0.1428600000000002,2.0,1.0,0.0,1.0,1.0,4.0,3.0,4.34026,3.94799,3.1079999999999997,2.17013,1.973995,1.5539999999999998,-1.67013,-0.026005000000000056,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.335346,2.48059,0.1246,0.335346,2.48059,0.1246,-0.335346,0.48058999999999985
