Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Barcelona,15.0,14.0,1.0,0.0,81.0,5.0,76.0,43.0,2.87,57.1,4.7,52.4,3.49,3.8066666666666666,0.31333333333333335,1.5933333333333337,-0.019999999999999962,15.0,15.0,0.0,0.0,56.0,5.0,51.0,45.0,3.0,52.7,5.5,47.2,3.15,3.5133333333333336,0.36666666666666664,0.21999999999999975,0.033333333333333326
Real Madrid,15.0,11.0,0.0,4.0,42.0,19.0,23.0,33.0,2.2,31.5,15.2,16.3,1.09,2.1,1.0133333333333332,0.6999999999999997,-0.2533333333333334,15.0,13.0,1.0,1.0,32.0,14.0,18.0,40.0,2.67,27.4,12.4,15.0,1.0,1.8266666666666667,0.8266666666666667,0.30666666666666664,-0.10666666666666669
Atlético Madrid,15.0,10.0,3.0,2.0,25.0,8.0,17.0,33.0,2.2,26.6,10.7,15.9,1.06,1.7733333333333334,0.7133333333333333,-0.10666666666666669,0.17999999999999994,15.0,8.0,4.0,3.0,28.0,14.0,14.0,28.0,1.87,23.1,17.5,5.6,0.37,1.54,1.1666666666666667,0.32666666666666666,0.2333333333333334
Levante,15.0,9.0,3.0,3.0,34.0,20.0,14.0,30.0,2.0,24.2,18.0,6.2,0.42,1.6133333333333333,1.2,0.6533333333333333,-0.1333333333333333,15.0,8.0,6.0,1.0,25.0,8.0,17.0,30.0,2.0,21.9,14.3,7.6,0.51,1.46,0.9533333333333334,0.20666666666666678,0.42000000000000004
Madrid CFF,15.0,8.0,1.0,6.0,28.0,23.0,5.0,25.0,1.67,23.8,22.6,1.2,0.08,1.5866666666666667,1.5066666666666668,0.28,-0.026666666666666616,15.0,7.0,4.0,4.0,33.0,31.0,2.0,25.0,1.67,27.2,20.7,6.4,0.43,1.8133333333333332,1.38,0.38666666666666694,-0.686666666666667
Athletic Club,15.0,12.0,0.0,3.0,25.0,11.0,14.0,36.0,2.4,18.4,16.9,1.5,0.1,1.2266666666666666,1.1266666666666665,0.44000000000000017,0.3933333333333332,15.0,5.0,2.0,8.0,13.0,26.0,-13.0,17.0,1.13,15.0,22.0,-7.0,-0.47,1.0,1.4666666666666666,-0.1333333333333333,-0.26666666666666683
Sevilla,15.0,8.0,2.0,5.0,32.0,20.0,12.0,26.0,1.73,25.6,19.0,6.6,0.44,1.7066666666666668,1.2666666666666666,0.4266666666666665,-0.06666666666666665,15.0,5.0,3.0,7.0,21.0,36.0,-15.0,18.0,1.2,18.4,22.3,-3.9,-0.26,1.2266666666666666,1.4866666666666668,0.17333333333333334,-0.9133333333333331
Real Sociedad,15.0,4.0,6.0,5.0,20.0,25.0,-5.0,18.0,1.2,17.5,21.4,-3.9,-0.26,1.1666666666666667,1.4266666666666665,0.16666666666666652,-0.2400000000000002,15.0,5.0,3.0,7.0,20.0,30.0,-10.0,18.0,1.2,19.9,24.1,-4.2,-0.28,1.3266666666666667,1.6066666666666667,0.006666666666666599,-0.3933333333333333
UDG Tenerife,15.0,6.0,5.0,4.0,20.0,13.0,7.0,23.0,1.53,18.2,15.5,2.7,0.18,1.2133333333333334,1.0333333333333334,0.11999999999999988,0.16666666666666674,15.0,2.0,3.0,10.0,15.0,35.0,-20.0,9.0,0.6,15.0,25.9,-11.0,-0.73,1.0,1.7266666666666666,0.0,-0.6066666666666669
Eibar,15.0,4.0,3.0,8.0,11.0,23.0,-12.0,15.0,1.0,10.3,21.3,-11.0,-0.73,0.6866666666666668,1.4200000000000002,0.04666666666666652,-0.11333333333333329,15.0,4.0,4.0,7.0,11.0,25.0,-14.0,16.0,1.07,10.7,23.9,-13.2,-0.88,0.7133333333333333,1.5933333333333333,0.020000000000000018,-0.07333333333333347
Real Betis,15.0,5.0,5.0,5.0,13.0,23.0,-10.0,20.0,1.33,13.3,24.7,-11.4,-0.76,0.8866666666666667,1.6466666666666667,-0.020000000000000018,0.11333333333333329,15.0,3.0,1.0,11.0,18.0,46.0,-28.0,10.0,0.67,13.9,30.2,-16.2,-1.08,0.9266666666666666,2.013333333333333,0.2733333333333333,-1.0533333333333337
Valencia,15.0,4.0,4.0,7.0,22.0,27.0,-5.0,16.0,1.07,20.3,26.1,-5.8,-0.39,1.3533333333333333,1.74,0.11333333333333329,-0.06000000000000005,15.0,4.0,1.0,10.0,13.0,37.0,-24.0,13.0,0.87,16.8,29.0,-12.2,-0.82,1.12,1.9333333333333333,-0.2533333333333334,-0.5333333333333334
Levante Planas,15.0,3.0,5.0,7.0,21.0,25.0,-4.0,14.0,0.93,16.5,23.9,-7.4,-0.49,1.1,1.5933333333333333,0.2999999999999998,-0.07333333333333347,15.0,3.0,5.0,7.0,17.0,33.0,-16.0,14.0,0.93,16.6,25.2,-8.6,-0.57,1.1066666666666667,1.68,0.026666666666666616,-0.5200000000000002
Granada,15.0,4.0,1.0,10.0,18.0,27.0,-9.0,13.0,0.87,22.1,21.6,0.5,0.03,1.4733333333333334,1.4400000000000002,-0.27333333333333343,-0.3599999999999999,15.0,4.0,2.0,9.0,15.0,31.0,-16.0,14.0,0.93,14.5,27.5,-13.0,-0.87,0.9666666666666667,1.8333333333333333,0.033333333333333326,-0.23333333333333361
Villarreal,15.0,3.0,4.0,8.0,17.0,32.0,-15.0,13.0,0.87,13.8,22.6,-8.8,-0.59,0.92,1.5066666666666668,0.21333333333333326,-0.6266666666666665,15.0,3.0,3.0,9.0,9.0,20.0,-11.0,12.0,0.8,9.3,21.1,-11.7,-0.78,0.62,1.4066666666666667,-0.020000000000000018,0.07333333333333347
Sporting Huelva,15.0,1.0,1.0,13.0,13.0,32.0,-19.0,4.0,0.27,12.0,25.6,-13.6,-0.91,0.8,1.7066666666666668,0.06666666666666665,-0.4266666666666665,15.0,1.0,2.0,12.0,7.0,31.0,-24.0,5.0,0.33,7.4,29.6,-22.2,-1.48,0.49333333333333335,1.9733333333333334,-0.026666666666666672,-0.09333333333333349
