Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Malmö,9.0,8.0,0.0,1.0,23.0,4.0,19.0,24.0,2.67,2.5555555555555554,0.4444444444444444,11.0,6.0,3.0,2.0,26.0,15.0,11.0,21.0,1.91,2.3636363636363638,1.3636363636363635
Djurgården,10.0,5.0,2.0,3.0,12.0,10.0,2.0,17.0,1.7,1.2,1.0,9.0,7.0,0.0,2.0,21.0,8.0,13.0,21.0,2.33,2.3333333333333335,0.8888888888888888
Hammarby,10.0,6.0,2.0,2.0,20.0,9.0,11.0,20.0,2.0,2.0,0.9,10.0,5.0,1.0,4.0,16.0,11.0,5.0,16.0,1.6,1.6,1.1
Mjällby,11.0,7.0,3.0,1.0,23.0,13.0,10.0,24.0,2.18,2.090909090909091,1.1818181818181819,10.0,4.0,0.0,6.0,11.0,15.0,-4.0,12.0,1.2,1.1,1.5
AIK Stockholm,10.0,7.0,0.0,3.0,21.0,11.0,10.0,21.0,2.1,2.1,1.1,11.0,4.0,2.0,5.0,13.0,24.0,-11.0,14.0,1.27,1.1818181818181819,2.1818181818181817
GAIS,11.0,7.0,2.0,2.0,17.0,10.0,7.0,23.0,2.09,1.5454545454545454,0.9090909090909091,10.0,3.0,1.0,6.0,8.0,15.0,-7.0,10.0,1.0,0.8,1.5
Elfsborg,11.0,8.0,1.0,2.0,28.0,11.0,17.0,25.0,2.27,2.5454545454545454,1.0,9.0,2.0,1.0,6.0,11.0,18.0,-7.0,7.0,0.78,1.2222222222222223,2.0
Häcken,10.0,5.0,2.0,3.0,24.0,17.0,7.0,17.0,1.7,2.4,1.7,9.0,4.0,2.0,3.0,15.0,15.0,0.0,14.0,1.56,1.6666666666666667,1.6666666666666667
Sirius,10.0,4.0,2.0,4.0,19.0,14.0,5.0,14.0,1.4,1.9,1.4,11.0,5.0,2.0,4.0,16.0,17.0,-1.0,17.0,1.55,1.4545454545454546,1.5454545454545454
Brommapojkarna,9.0,2.0,3.0,4.0,12.0,20.0,-8.0,9.0,1.0,1.3333333333333333,2.2222222222222223,11.0,4.0,4.0,3.0,21.0,18.0,3.0,16.0,1.45,1.9090909090909092,1.6363636363636365
Norrköping,10.0,5.0,0.0,5.0,14.0,19.0,-5.0,15.0,1.5,1.4,1.9,10.0,2.0,2.0,6.0,11.0,23.0,-12.0,8.0,0.8,1.1,2.3
Göteborg,10.0,2.0,4.0,4.0,9.0,15.0,-6.0,10.0,1.0,0.9,1.5,10.0,3.0,2.0,5.0,12.0,16.0,-4.0,11.0,1.1,1.2,1.6
Halmstad,10.0,5.0,0.0,5.0,13.0,10.0,3.0,15.0,1.5,1.3,1.0,11.0,2.0,0.0,9.0,10.0,29.0,-19.0,6.0,0.55,0.9090909090909091,2.6363636363636362
Värnamo,11.0,1.0,2.0,8.0,10.0,24.0,-14.0,5.0,0.45,0.9090909090909091,2.1818181818181817,10.0,4.0,3.0,3.0,12.0,8.0,4.0,15.0,1.5,1.2,0.8
Västerås,11.0,3.0,1.0,7.0,10.0,16.0,-6.0,10.0,0.91,0.9090909090909091,1.4545454545454546,10.0,2.0,2.0,6.0,8.0,13.0,-5.0,8.0,0.8,0.8,1.3
Kalmar,10.0,2.0,2.0,6.0,14.0,21.0,-7.0,8.0,0.8,1.4,2.1,11.0,3.0,1.0,7.0,13.0,24.0,-11.0,10.0,0.91,1.1818181818181819,2.1818181818181817
