Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Peñarol,11.0,8.0,3.0,0.0,19.0,3.0,16.0,27.0,2.45,1.7272727272727273,0.2727272727272727,11.0,9.0,1.0,1.0,22.0,9.0,13.0,28.0,2.55,2.0,0.8181818181818182
Nacional,12.0,9.0,2.0,1.0,26.0,11.0,15.0,29.0,2.42,2.1666666666666665,0.9166666666666666,10.0,6.0,3.0,1.0,23.0,10.0,13.0,21.0,2.1,2.3,1.0
Defensor,11.0,5.0,4.0,2.0,21.0,12.0,9.0,19.0,1.73,1.9090909090909092,1.0909090909090908,11.0,6.0,2.0,3.0,17.0,10.0,7.0,20.0,1.82,1.5454545454545454,0.9090909090909091
Boston River,11.0,4.0,3.0,4.0,15.0,15.0,0.0,15.0,1.36,1.3636363636363635,1.3636363636363635,11.0,6.0,1.0,4.0,12.0,10.0,2.0,19.0,1.73,1.0909090909090908,0.9090909090909091
Progreso,11.0,7.0,0.0,4.0,19.0,17.0,2.0,21.0,1.91,1.7272727272727273,1.5454545454545454,11.0,2.0,5.0,4.0,14.0,19.0,-5.0,11.0,1.0,1.2727272727272727,1.7272727272727273
Cerro Largo,9.0,3.0,2.0,4.0,8.0,11.0,-3.0,11.0,1.22,0.8888888888888888,1.2222222222222223,13.0,6.0,3.0,4.0,14.0,12.0,2.0,21.0,1.62,1.0769230769230769,0.9230769230769231
Racing,11.0,2.0,3.0,6.0,11.0,14.0,-3.0,9.0,0.82,1.0,1.2727272727272727,11.0,4.0,4.0,3.0,19.0,18.0,1.0,16.0,1.45,1.7272727272727273,1.6363636363636365
Liverpool,13.0,3.0,4.0,6.0,13.0,18.0,-5.0,13.0,1.0,1.0,1.3846153846153846,9.0,2.0,2.0,5.0,13.0,16.0,-3.0,8.0,0.89,1.4444444444444444,1.7777777777777777
Wanderers,11.0,6.0,1.0,4.0,15.0,12.0,3.0,19.0,1.73,1.3636363636363635,1.0909090909090908,11.0,3.0,3.0,5.0,11.0,17.0,-6.0,12.0,1.09,1.0,1.5454545454545454
Cerro,12.0,5.0,4.0,3.0,20.0,11.0,9.0,19.0,1.58,1.6666666666666667,0.9166666666666666,10.0,2.0,2.0,6.0,7.0,19.0,-12.0,8.0,0.8,0.7,1.9
Maldonado,11.0,2.0,1.0,8.0,9.0,16.0,-7.0,7.0,0.64,0.8181818181818182,1.4545454545454546,11.0,3.0,5.0,3.0,10.0,12.0,-2.0,14.0,1.27,0.9090909090909091,1.0909090909090908
Rampla Juniors,10.0,3.0,3.0,4.0,10.0,13.0,-3.0,12.0,1.2,1.0,1.3,12.0,3.0,2.0,7.0,13.0,26.0,-13.0,11.0,0.92,1.0833333333333333,2.1666666666666665
River Plate,11.0,3.0,4.0,4.0,19.0,20.0,-1.0,13.0,1.18,1.7272727272727273,1.8181818181818181,11.0,2.0,3.0,6.0,9.0,14.0,-5.0,9.0,0.82,0.8181818181818182,1.2727272727272727
Danubio,9.0,2.0,4.0,3.0,8.0,13.0,-5.0,10.0,1.11,0.8888888888888888,1.4444444444444444,13.0,5.0,3.0,5.0,16.0,17.0,-1.0,18.0,1.38,1.2307692307692308,1.3076923076923077
Fénix,12.0,3.0,2.0,7.0,11.0,16.0,-5.0,11.0,0.92,0.9166666666666666,1.3333333333333333,10.0,3.0,3.0,4.0,10.0,10.0,0.0,12.0,1.2,1.0,1.0
Miramar Misiones,11.0,2.0,4.0,5.0,15.0,18.0,-3.0,10.0,0.91,1.3636363636363635,1.6363636363636365,11.0,3.0,2.0,6.0,10.0,20.0,-10.0,11.0,1.0,0.9090909090909091,1.8181818181818181
